ID_Perjalanan,ID_StasiunAwal,ID_StasiunTujuan,ID_Kereta,Tgl_Keberangkatan,Waktu_Keberangkatan,Tgl_Tiba,Waktu_Tiba,Harga_Tiket
PRJ0000024,ST00090,ST00038,KRT00085,2025-11-19,15:01:10,2025-11-19,16:01:10,465178
PRJ0000025,ST00051,ST00036,KRT00088,2025-11-13,03:13:31,2025-11-13,04:13:31,326709
PRJ0000026,ST00100,ST00096,KRT00096,2025-11-19,23:06:05,2025-11-20,00:06:05,347931
PRJ0000027,ST00064,ST00037,KRT00046,2025-11-09,10:53:46,2025-11-09,14:53:46,348276
PRJ0000028,ST00029,ST00082,KRT00033,2025-11-04,04:23:41,2025-11-04,08:23:41,355525
PRJ0000029,ST00087,ST00097,KRT00013,2025-10-27,06:36:43,2025-10-27,09:36:43,359382
PRJ0000030,ST00081,ST00083,KRT00057,2025-10-21,09:52:38,2025-10-21,10:52:38,191969
PRJ0000031,ST00005,ST00075,KRT00017,2025-10-26,00:00:21,2025-10-26,06:00:21,413967
PRJ0000032,ST00012,ST00038,KRT00054,2025-10-21,23:31:20,2025-10-22,05:31:20,421895
PRJ0000033,ST00023,ST00026,KRT00070,2025-10-30,11:57:00,2025-10-30,14:57:00,442359
PRJ0000034,ST00047,ST00068,KRT00022,2025-10-31,05:35:04,2025-10-31,10:35:04,465406
PRJ0000035,ST00033,ST00062,KRT00044,2025-10-28,08:54:14,2025-10-28,13:54:14,421412
PRJ0000036,ST00015,ST00060,KRT00097,2025-11-01,13:57:02,2025-11-01,15:57:02,103797
PRJ0000037,ST00029,ST00087,KRT00072,2025-11-16,04:54:30,2025-11-16,11:54:30,473413
PRJ0000038,ST00047,ST00012,KRT00034,2025-10-25,08:30:03,2025-10-25,15:30:03,37297
PRJ0000039,ST00069,ST00016,KRT00087,2025-11-12,16:15:03,2025-11-13,00:15:03,223245
PRJ0000040,ST00096,ST00087,KRT00049,2025-11-13,20:45:44,2025-11-14,01:45:44,336477
PRJ0000041,ST00082,ST00048,KRT00030,2025-10-22,14:23:34,2025-10-22,16:23:34,383808
PRJ0000042,ST00061,ST00004,KRT00029,2025-10-29,11:24:21,2025-10-29,17:24:21,349858
PRJ0000043,ST00083,ST00009,KRT00039,2025-11-11,21:42:32,2025-11-12,05:42:32,397566
PRJ0000044,ST00084,ST00053,KRT00006,2025-11-12,20:25:26,2025-11-12,22:25:26,103283
PRJ0000045,ST00005,ST00039,KRT00013,2025-11-11,21:04:02,2025-11-12,05:04:02,90880
PRJ0000046,ST00031,ST00069,KRT00059,2025-11-01,07:02:46,2025-11-01,10:02:46,233762
PRJ0000047,ST00048,ST00086,KRT00096,2025-11-04,06:29:59,2025-11-04,13:29:59,337935
PRJ0000048,ST00094,ST00020,KRT00013,2025-11-09,16:15:53,2025-11-09,23:15:53,373367
PRJ0000049,ST00063,ST00079,KRT00005,2025-11-06,17:11:28,2025-11-07,00:11:28,176664
PRJ0000050,ST00089,ST00048,KRT00057,2025-10-25,22:08:31,2025-10-26,02:08:31,262460
PRJ0000051,ST00031,ST00047,KRT00048,2025-11-10,22:17:57,2025-11-11,00:17:57,389493
PRJ0000052,ST00070,ST00083,KRT00051,2025-11-14,04:20:16,2025-11-14,10:20:16,61745
PRJ0000053,ST00036,ST00025,KRT00059,2025-11-18,16:08:12,2025-11-18,18:08:12,474613
PRJ0000054,ST00012,ST00085,KRT00082,2025-11-16,05:46:00,2025-11-16,09:46:00,366437
PRJ0000055,ST00077,ST00003,KRT00043,2025-10-22,18:59:56,2025-10-22,19:59:56,442506
PRJ0000056,ST00032,ST00017,KRT00098,2025-11-09,02:31:00,2025-11-09,06:31:00,65971
PRJ0000057,ST00071,ST00027,KRT00030,2025-11-14,08:39:34,2025-11-14,12:39:34,456273
PRJ0000058,ST00043,ST00100,KRT00077,2025-11-19,09:10:49,2025-11-19,12:10:49,443476
PRJ0000059,ST00001,ST00036,KRT00070,2025-11-13,01:11:14,2025-11-13,04:11:14,98153
PRJ0000060,ST00033,ST00023,KRT00004,2025-10-23,04:28:49,2025-10-23,06:28:49,376584
PRJ0000061,ST00017,ST00002,KRT00031,2025-10-21,23:31:02,2025-10-22,05:31:02,444179
PRJ0000062,ST00076,ST00042,KRT00034,2025-11-17,11:57:14,2025-11-17,12:57:14,121355
PRJ0000063,ST00007,ST00017,KRT00015,2025-11-16,13:31:51,2025-11-16,20:31:51,305820
PRJ0000064,ST00096,ST00009,KRT00100,2025-11-03,14:11:11,2025-11-03,22:11:11,265025
PRJ0000065,ST00047,ST00066,KRT00065,2025-11-10,21:06:03,2025-11-10,23:06:03,266981
PRJ0000066,ST00029,ST00079,KRT00085,2025-10-26,01:00:56,2025-10-26,02:00:56,411284
PRJ0000067,ST00067,ST00039,KRT00004,2025-11-06,04:30:44,2025-11-06,12:30:44,367295
PRJ0000068,ST00008,ST00062,KRT00088,2025-11-11,03:48:56,2025-11-11,10:48:56,253490
PRJ0000069,ST00014,ST00063,KRT00011,2025-10-28,13:07:21,2025-10-28,21:07:21,68530
PRJ0000070,ST00042,ST00078,KRT00017,2025-10-30,00:49:23,2025-10-30,03:49:23,64436
PRJ0000071,ST00036,ST00080,KRT00077,2025-11-06,07:12:23,2025-11-06,13:12:23,229703
PRJ0000072,ST00068,ST00038,KRT00078,2025-11-01,08:38:22,2025-11-01,16:38:22,295054
PRJ0000073,ST00056,ST00013,KRT00084,2025-10-31,08:04:28,2025-10-31,10:04:28,477108
PRJ0000074,ST00084,ST00099,KRT00058,2025-11-06,06:42:57,2025-11-06,10:42:57,255480
PRJ0000075,ST00030,ST00053,KRT00059,2025-11-12,23:07:53,2025-11-13,05:07:53,463805
PRJ0000076,ST00052,ST00054,KRT00055,2025-11-04,03:19:07,2025-11-04,05:19:07,193865
PRJ0000077,ST00041,ST00086,KRT00020,2025-11-08,03:18:56,2025-11-08,08:18:56,226241
PRJ0000078,ST00088,ST00061,KRT00011,2025-11-07,00:11:13,2025-11-07,02:11:13,77828
PRJ0000079,ST00012,ST00056,KRT00095,2025-11-12,00:28:21,2025-11-12,02:28:21,420379
PRJ0000080,ST00048,ST00017,KRT00072,2025-10-28,23:25:51,2025-10-29,00:25:51,337476
PRJ0000081,ST00072,ST00043,KRT00046,2025-10-31,12:17:32,2025-10-31,14:17:32,245382
PRJ0000082,ST00086,ST00097,KRT00093,2025-10-25,18:40:31,2025-10-26,01:40:31,485130
PRJ0000083,ST00007,ST00037,KRT00014,2025-11-13,17:05:48,2025-11-13,22:05:48,214363
PRJ0000084,ST00074,ST00065,KRT00085,2025-10-29,04:58:24,2025-10-29,08:58:24,111123
PRJ0000085,ST00062,ST00029,KRT00072,2025-10-28,23:21:33,2025-10-29,01:21:33,213560
PRJ0000086,ST00048,ST00015,KRT00029,2025-11-13,23:25:01,2025-11-14,04:25:01,330993
PRJ0000087,ST00055,ST00072,KRT00085,2025-11-10,14:28:55,2025-11-10,15:28:55,349288
PRJ0000088,ST00089,ST00035,KRT00035,2025-11-04,23:16:49,2025-11-05,00:16:49,124589
PRJ0000089,ST00090,ST00098,KRT00045,2025-10-31,02:20:28,2025-10-31,07:20:28,208165
PRJ0000090,ST00001,ST00024,KRT00085,2025-10-23,15:19:15,2025-10-23,18:19:15,326915
PRJ0000091,ST00052,ST00009,KRT00082,2025-11-07,10:02:08,2025-11-07,13:02:08,418481
PRJ0000092,ST00004,ST00012,KRT00054,2025-11-07,03:11:50,2025-11-07,07:11:50,227234
PRJ0000093,ST00059,ST00044,KRT00040,2025-10-28,13:25:55,2025-10-28,16:25:55,224014
PRJ0000094,ST00093,ST00042,KRT00007,2025-11-14,14:51:08,2025-11-14,16:51:08,493125
PRJ0000095,ST00020,ST00021,KRT00011,2025-10-24,10:37:45,2025-10-24,11:37:45,383353
PRJ0000096,ST00035,ST00057,KRT00078,2025-11-10,17:19:52,2025-11-11,00:19:52,284626
PRJ0000097,ST00057,ST00054,KRT00097,2025-11-19,10:00:21,2025-11-19,15:00:21,143020
PRJ0000098,ST00066,ST00015,KRT00015,2025-10-26,02:59:33,2025-10-26,08:59:33,255398
PRJ0000099,ST00037,ST00087,KRT00086,2025-10-31,16:12:15,2025-11-01,00:12:15,306265
PRJ0000100,ST00040,ST00006,KRT00077,2025-11-02,19:18:05,2025-11-02,23:18:05,237231
