ID_Stasiun,Nama_Stasiun,Lokasi
ST00250,Stasiun Bogor,Padang
ST00251,Stasiun Binjai,Madiun
ST00252,Stasiun Balikpapan,Mojokerto
ST00253,Stasiun Surabaya,Metro
ST00254,Stasiun Lubuklinggau,Payakumbuh
ST00255,Stasiun Kediri,Purwokerto
ST00256,Stasiun Solok,Pangkalpinang
ST00257,Stasiun Mataram,Jambi
ST00258,Stasiun Serang,Subulussalam
ST00259,Stasiun Salatiga,Sungai Penuh
ST00260,Stasiun Depok,Sukabumi
ST00261,Stasiun Tangerang,Dumai
ST00262,Stasiun Banda Aceh,Samarinda
ST00263,Stasiun Langsa,Jambi
ST00264,Stasiun Cilegon,Kota Administrasi Jakarta Timur
ST00265,Stasiun Tidore Kepulauan,Surabaya
ST00266,Stasiun Parepare,Mojokerto
ST00267,Stasiun Kota Administrasi Jakarta Pusat,Purwokerto
ST00268,Stasiun Sukabumi,Pariaman
ST00269,Stasiun Pekanbaru,Mojokerto
ST00270,Stasiun Tasikmalaya,Binjai
ST00271,Stasiun Pariaman,Ternate
ST00272,Stasiun Bima,Padangpanjang
ST00273,Stasiun Mojokerto,Tebingtinggi
ST00274,Stasiun Balikpapan,Makassar
ST00275,Stasiun Manado,Tarakan
ST00276,Stasiun Bima,Kota Administrasi Jakarta Timur
ST00277,Stasiun Kota Administrasi Jakarta Utara,Jayapura
ST00278,Stasiun Batu,Lubuklinggau
ST00279,Stasiun Sibolga,Bitung
ST00280,Stasiun Subulussalam,Bukittinggi
ST00281,Stasiun Yogyakarta,Kota Administrasi Jakarta Timur
ST00282,Stasiun Bau-Bau,Bima
ST00283,Stasiun Samarinda,Malang
ST00284,Stasiun Surabaya,Tegal
ST00285,Stasiun Tegal,Surakarta
ST00286,Stasiun Padangpanjang,Lubuklinggau
ST00287,Stasiun Sungai Penuh,Bandung
ST00288,Stasiun Tanjungpinang,Magelang
ST00289,Stasiun Bengkulu,Bontang
ST00290,Stasiun Depok,Tarakan
ST00291,Stasiun Manado,Padangpanjang
ST00292,Stasiun Purwokerto,Kupang
ST00293,Stasiun Padangpanjang,Tanjungbalai
ST00294,Stasiun Prabumulih,Manado
ST00295,Stasiun Bogor,Banjarbaru
ST00296,Stasiun Banjar,Tangerang Selatan
ST00297,Stasiun Meulaboh,Banda Aceh
ST00298,Stasiun Pagaralam,Tangerang
ST00299,Stasiun Parepare,Payakumbuh
ST00300,Stasiun Ternate,Sawahlunto
ST00301,Stasiun Banjarbaru,Sawahlunto
ST00302,Stasiun Padang,Palembang
ST00303,Stasiun Makassar,Mataram
ST00304,Stasiun Solok,Tebingtinggi
ST00305,Stasiun Bima,Meulaboh
ST00306,Stasiun Palembang,Bekasi
ST00307,Stasiun Cimahi,Dumai
ST00308,Stasiun Cirebon,Sibolga
ST00309,Stasiun Tual,Cimahi
ST00310,Stasiun Prabumulih,Subulussalam
ST00311,Stasiun Surabaya,Makassar
ST00312,Stasiun Sorong,Subulussalam
ST00313,Stasiun Pariaman,Bengkulu
ST00314,Stasiun Batu,Pematangsiantar
ST00315,Stasiun Bontang,Parepare
ST00316,Stasiun Gorontalo,Parepare
ST00317,Stasiun Surakarta,Langsa
ST00318,Stasiun Palembang,Malang
ST00319,Stasiun Singkawang,Kota Administrasi Jakarta Utara
ST00320,Stasiun Bima,Jambi
ST00321,Stasiun Langsa,Tanjungbalai
ST00322,Stasiun Sukabumi,Banjarbaru
ST00323,Stasiun Samarinda,Palu
ST00324,Stasiun Tebingtinggi,Mojokerto
ST00325,Stasiun Palu,Ambon
ST00326,Stasiun Medan,Jayapura
ST00327,Stasiun Lubuklinggau,Bitung
ST00328,Stasiun Ambon,Mataram
ST00329,Stasiun Tidore Kepulauan,Kota Administrasi Jakarta Utara
ST00330,Stasiun Pekanbaru,Surakarta
ST00331,Stasiun Blitar,Pariaman
ST00332,Stasiun Sabang,Tarakan
ST00333,Stasiun Mataram,Padang
ST00334,Stasiun Palangkaraya,Bukittinggi
ST00335,Stasiun Malang,Tomohon
ST00336,Stasiun Solok,Kotamobagu
ST00337,Stasiun Bau-Bau,Tanjungbalai
ST00338,Stasiun Kota Administrasi Jakarta Pusat,Pagaralam
ST00339,Stasiun Pasuruan,Tanjungbalai
ST00340,Stasiun Pontianak,Bitung
ST00341,Stasiun Bima,Balikpapan
ST00342,Stasiun Sabang,Kota Administrasi Jakarta Pusat
ST00343,Stasiun Gorontalo,Ternate
ST00344,Stasiun Makassar,Ambon
ST00345,Stasiun Padangpanjang,Bandung
ST00346,Stasiun Sorong,Bandar Lampung
ST00347,Stasiun Tasikmalaya,Tual
ST00348,Stasiun Jayapura,Bandung
ST00349,Stasiun Subulussalam,Kota Administrasi Jakarta Utara
ST00350,Stasiun Mataram,Pariaman
ST00351,Stasiun Tomohon,Ternate
ST00352,Stasiun Bontang,Kota Administrasi Jakarta Barat
ST00353,Stasiun Banjarmasin,Kendari
ST00354,Stasiun Bitung,Probolinggo
ST00355,Stasiun Tarakan,Yogyakarta
ST00356,Stasiun Palu,Bima
ST00357,Stasiun Tebingtinggi,Banda Aceh
ST00358,Stasiun Cilegon,Sorong
ST00359,Stasiun Kota Administrasi Jakarta Timur,Tangerang Selatan
ST00360,Stasiun Batu,Blitar
ST00361,Stasiun Meulaboh,Kupang
ST00362,Stasiun Pekalongan,Surakarta
ST00363,Stasiun Cilegon,Malang
ST00364,Stasiun Tomohon,Malang
ST00365,Stasiun Bukittinggi,Banda Aceh
ST00366,Stasiun Depok,Pontianak
ST00367,Stasiun Kediri,Cirebon
ST00368,Stasiun Bima,Pangkalpinang
ST00369,Stasiun Mojokerto,Sibolga
ST00370,Stasiun Tasikmalaya,Padang Sidempuan
ST00371,Stasiun Bukittinggi,Serang
ST00372,Stasiun Tual,Langsa
ST00373,Stasiun Probolinggo,Tangerang Selatan
ST00374,Stasiun Palembang,Tomohon
ST00375,Stasiun Gorontalo,Sungai Penuh
ST00376,Stasiun Batam,Palangkaraya
ST00377,Stasiun Mataram,Pangkalpinang
ST00378,Stasiun Medan,Prabumulih
ST00379,Stasiun Langsa,Padang Sidempuan
ST00380,Stasiun Ambon,Salatiga
ST00381,Stasiun Tarakan,Pekanbaru
ST00382,Stasiun Pasuruan,Palu
ST00383,Stasiun Tangerang,Bima
ST00384,Stasiun Mojokerto,Pariaman
ST00385,Stasiun Dumai,Padangpanjang
ST00386,Stasiun Tebingtinggi,Pariaman
ST00387,Stasiun Tangerang,Mataram
ST00388,Stasiun Bitung,Malang
ST00389,Stasiun Banda Aceh,Probolinggo
ST00390,Stasiun Sawahlunto,Singkawang
ST00391,Stasiun Balikpapan,Banjarmasin
ST00392,Stasiun Metro,Sawahlunto
ST00393,Stasiun Balikpapan,Sibolga
ST00394,Stasiun Palopo,Salatiga
ST00395,Stasiun Sabang,Lhokseumawe
ST00396,Stasiun Jambi,Pagaralam
ST00397,Stasiun Palopo,Batam
ST00398,Stasiun Cirebon,Banjarbaru
ST00399,Stasiun Kota Administrasi Jakarta Selatan,Banjarmasin
ST00400,Stasiun Probolinggo,Surakarta
ST00401,Stasiun Cimahi,Kota Administrasi Jakarta Pusat
ST00402,Stasiun Surakarta,Sorong
ST00403,Stasiun Singkawang,Kupang
ST00404,Stasiun Bukittinggi,Pasuruan
ST00405,Stasiun Semarang,Balikpapan
ST00406,Stasiun Sukabumi,Bima
ST00407,Stasiun Madiun,Pekanbaru
ST00408,Stasiun Dumai,Cimahi
ST00409,Stasiun Jambi,Batam
ST00410,Stasiun Purwokerto,Subulussalam
ST00411,Stasiun Bogor,Pangkalpinang
ST00412,Stasiun Kota Administrasi Jakarta Barat,Padangpanjang
ST00413,Stasiun Batam,Depok
ST00414,Stasiun Bengkulu,Pasuruan
ST00415,Stasiun Meulaboh,Semarang
ST00416,Stasiun Sabang,Kota Administrasi Jakarta Barat
ST00417,Stasiun Makassar,Batu
ST00418,Stasiun Kupang,Tarakan
ST00419,Stasiun Serang,Langsa
ST00420,Stasiun Magelang,Dumai
ST00421,Stasiun Pasuruan,Palangkaraya
ST00422,Stasiun Bima,Palu
ST00423,Stasiun Banjarmasin,Serang
ST00424,Stasiun Mataram,Banjar
ST00425,Stasiun Mataram,Banjarbaru
ST00426,Stasiun Dumai,Padang
ST00427,Stasiun Bau-Bau,Tual
ST00428,Stasiun Parepare,Binjai
ST00429,Stasiun Bontang,Tarakan
ST00430,Stasiun Lubuklinggau,Kota Administrasi Jakarta Barat
ST00431,Stasiun Tidore Kepulauan,Depok
ST00432,Stasiun Bengkulu,Tarakan
ST00433,Stasiun Semarang,Tanjungpinang
ST00434,Stasiun Bukittinggi,Banjarmasin
ST00435,Stasiun Palembang,Probolinggo
ST00436,Stasiun Surakarta,Singkawang
ST00437,Stasiun Tangerang,Pekanbaru
ST00438,Stasiun Bitung,Palangkaraya
ST00439,Stasiun Banjarmasin,Prabumulih
ST00440,Stasiun Kota Administrasi Jakarta Selatan,Pontianak
ST00441,Stasiun Bukittinggi,Kota Administrasi Jakarta Utara
ST00442,Stasiun Bau-Bau,Bitung
ST00443,Stasiun Sungai Penuh,Batam
ST00444,Stasiun Banda Aceh,Balikpapan
ST00445,Stasiun Madiun,Tegal
ST00446,Stasiun Sungai Penuh,Prabumulih
ST00447,Stasiun Batam,Tanjungpinang
ST00448,Stasiun Banda Aceh,Palangkaraya
ST00449,Stasiun Banda Aceh,Langsa
ST00450,Stasiun Banda Aceh,Pekalongan
ST00451,Stasiun Mojokerto,Pariaman
ST00452,Stasiun Tangerang,Kotamobagu
ST00453,Stasiun Bukittinggi,Surabaya
ST00454,Stasiun Banjar,Kota Administrasi Jakarta Selatan
ST00455,Stasiun Palangkaraya,Bekasi
ST00456,Stasiun Ternate,Tidore Kepulauan
ST00457,Stasiun Samarinda,Balikpapan
ST00458,Stasiun Mojokerto,Salatiga
ST00459,Stasiun Banjarmasin,Batam
ST00460,Stasiun Mataram,Madiun
ST00461,Stasiun Bima,Batu
ST00462,Stasiun Kupang,Depok
ST00463,Stasiun Cirebon,Lubuklinggau
ST00464,Stasiun Palembang,Tanjungbalai
ST00465,Stasiun Tegal,Yogyakarta
ST00466,Stasiun Bitung,Meulaboh
ST00467,Stasiun Ambon,Palembang
ST00468,Stasiun Tangerang Selatan,Padangpanjang
ST00469,Stasiun Malang,Bandung
ST00470,Stasiun Padang,Ambon
ST00471,Stasiun Semarang,Langsa
ST00472,Stasiun Banjarmasin,Kota Administrasi Jakarta Barat
ST00473,Stasiun Lhokseumawe,Gorontalo
ST00474,Stasiun Binjai,Lhokseumawe
ST00475,Stasiun Bontang,Palangkaraya
ST00476,Stasiun Sawahlunto,Bau-Bau
ST00477,Stasiun Ternate,Tomohon
ST00478,Stasiun Dumai,Tangerang
ST00479,Stasiun Surakarta,Kota Administrasi Jakarta Barat
ST00480,Stasiun Sibolga,Probolinggo
ST00481,Stasiun Meulaboh,Solok
ST00482,Stasiun Surakarta,Kota Administrasi Jakarta Selatan
ST00483,Stasiun Payakumbuh,Singkawang
ST00484,Stasiun Bima,Batam
ST00485,Stasiun Tangerang Selatan,Tidore Kepulauan
ST00486,Stasiun Madiun,Prabumulih
ST00487,Stasiun Jambi,Surakarta
ST00488,Stasiun Bekasi,Cilegon
ST00489,Stasiun Tanjungbalai,Prabumulih
ST00490,Stasiun Semarang,Kota Administrasi Jakarta Selatan
ST00491,Stasiun Lhokseumawe,Banjar
ST00492,Stasiun Kotamobagu,Gorontalo
ST00493,Stasiun Bekasi,Madiun
ST00494,Stasiun Sungai Penuh,Depok
ST00495,Stasiun Tanjungpinang,Kupang
ST00496,Stasiun Ternate,Cirebon
ST00497,Stasiun Pangkalpinang,Bandar Lampung
ST00498,Stasiun Tebingtinggi,Purwokerto
ST00499,Stasiun Tegal,Tidore Kepulauan
ST00500,Stasiun Padang,Cilegon
ST00501,Stasiun Tual,Padang
ST00502,Stasiun Medan,Ternate
ST00503,Stasiun Pangkalpinang,Pekanbaru
ST00504,Stasiun Batam,Jambi
ST00505,Stasiun Sorong,Mataram
ST00506,Stasiun Pariaman,Batu
ST00507,Stasiun Kotamobagu,Singkawang
ST00508,Stasiun Padangpanjang,Palembang
ST00509,Stasiun Medan,Padang Sidempuan
ST00510,Stasiun Pasuruan,Bitung
ST00511,Stasiun Bengkulu,Bekasi
ST00512,Stasiun Balikpapan,Mojokerto
ST00513,Stasiun Kupang,Semarang
ST00514,Stasiun Bengkulu,Sukabumi
ST00515,Stasiun Metro,Tangerang Selatan
ST00516,Stasiun Tual,Binjai
ST00517,Stasiun Mataram,Semarang
ST00518,Stasiun Palembang,Kotamobagu
ST00519,Stasiun Dumai,Pontianak
ST00520,Stasiun Bandung,Salatiga
ST00521,Stasiun Sukabumi,Palu
ST00522,Stasiun Malang,Dumai
ST00523,Stasiun Kota Administrasi Jakarta Barat,Tanjungbalai
ST00524,Stasiun Sorong,Bima
ST00525,Stasiun Kediri,Salatiga
ST00526,Stasiun Banjarbaru,Tomohon
ST00527,Stasiun Tarakan,Kota Administrasi Jakarta Timur
ST00528,Stasiun Kota Administrasi Jakarta Utara,Sorong
ST00529,Stasiun Tangerang Selatan,Bogor
ST00530,Stasiun Cimahi,Tomohon
ST00531,Stasiun Batu,Banjar
ST00532,Stasiun Tanjungpinang,Banjarbaru
ST00533,Stasiun Padang Sidempuan,Serang
ST00534,Stasiun Makassar,Bengkulu
ST00535,Stasiun Banjarmasin,Purwokerto
ST00536,Stasiun Langsa,Blitar
ST00537,Stasiun Balikpapan,Prabumulih
ST00538,Stasiun Bekasi,Ternate
ST00539,Stasiun Kota Administrasi Jakarta Selatan,Tebingtinggi
ST00540,Stasiun Pariaman,Serang
ST00541,Stasiun Cirebon,Kupang
ST00542,Stasiun Surabaya,Padang
ST00543,Stasiun Salatiga,Metro
ST00544,Stasiun Banjarbaru,Mojokerto
ST00545,Stasiun Bau-Bau,Madiun
ST00546,Stasiun Bandar Lampung,Malang
ST00547,Stasiun Solok,Banjarbaru
ST00548,Stasiun Kota Administrasi Jakarta Barat,Langsa
ST00549,Stasiun Subulussalam,Palembang
ST00550,Stasiun Jayapura,Kota Administrasi Jakarta Utara
ST00551,Stasiun Lubuklinggau,Pangkalpinang
ST00552,Stasiun Sukabumi,Sabang
ST00553,Stasiun Kota Administrasi Jakarta Barat,Subulussalam
ST00554,Stasiun Tomohon,Dumai
ST00555,Stasiun Balikpapan,Bekasi
ST00556,Stasiun Blitar,Kota Administrasi Jakarta Selatan
ST00557,Stasiun Meulaboh,Padangpanjang
ST00558,Stasiun Cirebon,Makassar
ST00559,Stasiun Surakarta,Ambon
ST00560,Stasiun Tanjungbalai,Bontang
ST00561,Stasiun Samarinda,Yogyakarta
ST00562,Stasiun Padang,Mojokerto
ST00563,Stasiun Sorong,Medan
ST00564,Stasiun Serang,Cilegon
ST00565,Stasiun Subulussalam,Bekasi
ST00566,Stasiun Tasikmalaya,Prabumulih
ST00567,Stasiun Jayapura,Banda Aceh
ST00568,Stasiun Sukabumi,Probolinggo
ST00569,Stasiun Tasikmalaya,Bandung
ST00570,Stasiun Prabumulih,Padangpanjang
ST00571,Stasiun Sukabumi,Banjar
ST00572,Stasiun Batam,Prabumulih
ST00573,Stasiun Palu,Lubuklinggau
ST00574,Stasiun Bontang,Banda Aceh
ST00575,Stasiun Manado,Banjarbaru
ST00576,Stasiun Payakumbuh,Pematangsiantar
ST00577,Stasiun Banjarbaru,Manado
ST00578,Stasiun Kediri,Pekanbaru
ST00579,Stasiun Bekasi,Semarang
ST00580,Stasiun Tangerang Selatan,Bukittinggi
ST00581,Stasiun Kota Administrasi Jakarta Barat,Sungai Penuh
ST00582,Stasiun Medan,Tomohon
