ID_Kursi,Nomor_Kursi,ID_Gerbong
KS000116,86,GB05111
KS000117,93,GB05070
KS000118,75,GB08320
KS000119,15,GB00498
KS000120,85,GB06616
KS000121,25,GB02168
KS000122,53,GB07348
KS000123,98,GB03161
KS000124,73,GB02288
KS000125,82,GB00445
KS000126,49,GB00378
KS000127,36,GB02304
KS000128,75,GB04826
KS000129,19,GB09992
KS000130,18,GB01252
KS000131,12,GB02866
KS000132,35,GB07322
KS000133,34,GB03482
KS000134,83,GB05591
KS000135,7,GB07060
KS000136,78,GB07919
KS000137,70,GB02777
KS000138,8,GB09435
KS000139,75,GB03393
KS000140,65,GB07867
KS000141,18,GB01945
KS000142,13,GB02268
KS000143,3,GB03532
KS000144,66,GB02475
KS000145,93,GB09701
KS000146,79,GB08279
KS000147,25,GB09626
KS000148,97,GB09762
KS000149,6,GB01718
KS000150,48,GB00043
KS000151,100,GB06022
KS000152,80,GB05725
KS000153,39,GB08030
KS000154,55,GB01289
KS000155,56,GB09156
KS000156,97,GB00998
KS000157,93,GB06362
KS000158,66,GB00565
KS000159,31,GB00625
KS000160,40,GB00505
KS000161,1,GB05354
KS000162,88,GB04426
KS000163,54,GB08533
KS000164,3,GB01299
KS000165,90,GB03287
KS000166,16,GB04493
KS000167,28,GB03937
KS000168,54,GB00016
KS000169,46,GB08088
KS000170,34,GB03212
KS000171,24,GB01678
KS000172,95,GB01765
KS000173,16,GB05637
KS000174,35,GB09410
KS000175,43,GB02131
KS000176,74,GB01344
KS000177,98,GB07766
KS000178,77,GB01766
KS000179,77,GB06209
KS000180,80,GB00774
KS000181,78,GB01089
KS000182,31,GB06215
KS000183,38,GB01078
KS000184,63,GB06821
KS000185,41,GB09323
KS000186,17,GB00297
KS000187,48,GB09404
KS000188,39,GB08881
KS000189,82,GB03343
KS000190,51,GB00411
KS000191,73,GB00448
KS000192,10,GB06891
KS000193,67,GB00223
KS000194,14,GB01346
KS000195,44,GB03551
KS000196,95,GB06822
KS000197,3,GB06308
KS000198,38,GB03445
KS000199,78,GB04906
KS000200,47,GB03205
KS000201,84,GB04371
KS000202,78,GB08076
KS000203,27,GB02067
KS000204,8,GB00049
KS000205,75,GB06784
KS000206,5,GB01910
KS000207,48,GB03219
KS000208,43,GB03301
KS000209,81,GB00475
KS000210,46,GB03612
KS000211,23,GB05635
KS000212,56,GB02831
KS000213,40,GB09185
KS000214,70,GB09202
KS000215,83,GB08840
KS000216,3,GB04923
KS000217,77,GB08118
KS000218,6,GB04338
KS000219,53,GB04527
KS000220,71,GB05415
KS000221,42,GB05838
KS000222,13,GB06628
KS000223,73,GB03446
KS000224,21,GB04634
KS000225,5,GB05456
KS000226,98,GB07381
KS000227,97,GB04739
KS000228,13,GB01320
KS000229,82,GB09270
KS000230,27,GB06056
KS000231,26,GB09287
KS000232,13,GB00025
KS000233,31,GB08407
KS000234,83,GB09489
KS000235,10,GB06496
KS000236,99,GB06560
KS000237,64,GB07219
KS000238,88,GB00436
KS000239,80,GB05903
KS000240,20,GB01188
KS000241,65,GB05444
KS000242,87,GB08263
KS000243,49,GB08695
KS000244,92,GB00702
KS000245,34,GB03099
KS000246,78,GB04267
KS000247,19,GB09666
KS000248,2,GB00536
KS000249,66,GB08702
KS000250,76,GB02342
KS000251,42,GB08845
KS000252,82,GB05316
KS000253,62,GB08421
KS000254,26,GB09974
KS000255,92,GB08919
KS000256,6,GB03142
KS000257,62,GB00389
KS000258,28,GB07409
KS000259,61,GB03378
KS000260,97,GB01353
KS000261,20,GB00848
KS000262,48,GB09041
KS000263,72,GB06710
KS000264,73,GB05012
KS000265,67,GB05813
KS000266,27,GB01009
KS000267,59,GB04129
KS000268,67,GB07517
KS000269,71,GB01273
KS000270,25,GB04200
KS000271,3,GB09708
KS000272,45,GB01927
KS000273,36,GB00234
KS000274,41,GB00939
KS000275,96,GB01178
KS000276,71,GB01655
KS000277,32,GB06329
KS000278,10,GB08099
KS000279,5,GB00039
KS000280,5,GB04525
KS000281,66,GB05863
KS000282,39,GB01789
KS000283,93,GB02215
KS000284,88,GB03151
KS000285,86,GB04110
KS000286,65,GB01697
KS000287,2,GB09547
KS000288,37,GB05331
KS000289,22,GB05216
KS000290,42,GB04080
KS000291,90,GB09375
KS000292,50,GB02394
KS000293,42,GB05917
KS000294,56,GB01284
KS000295,35,GB04407
KS000296,13,GB02546
KS000297,85,GB09241
KS000298,70,GB07299
KS000299,8,GB01027
KS000300,8,GB03126
KS000301,85,GB02117
KS000302,16,GB05462
KS000303,19,GB09648
KS000304,33,GB01768
KS000305,64,GB07067
KS000306,15,GB01814
KS000307,13,GB05045
KS000308,66,GB03837
KS000309,21,GB04105
KS000310,97,GB00620
KS000311,77,GB06656
KS000312,96,GB05617
KS000313,97,GB02221
KS000314,87,GB06740
KS000315,10,GB02159
KS000316,16,GB06358
KS000317,53,GB09234
KS000318,39,GB08459
KS000319,12,GB00989
KS000320,1,GB01262
KS000321,9,GB02699
KS000322,91,GB03393
KS000323,29,GB00376
KS000324,16,GB06878
KS000325,59,GB09498
KS000326,49,GB05526
KS000327,48,GB06393
KS000328,84,GB07614
KS000329,32,GB03060
KS000330,29,GB08985
KS000331,94,GB03149
KS000332,50,GB08273
KS000333,40,GB01630
KS000334,38,GB03947
KS000335,40,GB04613
KS000336,51,GB02784
KS000337,23,GB08279
KS000338,3,GB07974
KS000339,34,GB09876
KS000340,83,GB00914
KS000341,41,GB03273
KS000342,66,GB09362
KS000343,100,GB00224
KS000344,44,GB06017
KS000345,1,GB04430
KS000346,21,GB08597
KS000347,83,GB01126
KS000348,56,GB08904
KS000349,30,GB06509
KS000350,20,GB05429
KS000351,58,GB08059
KS000352,23,GB01406
KS000353,4,GB08224
KS000354,63,GB03032
KS000355,60,GB04698
KS000356,16,GB00826
KS000357,48,GB09552
KS000358,11,GB05732
KS000359,95,GB07546
KS000360,74,GB08339
KS000361,96,GB01378
KS000362,48,GB05564
KS000363,44,GB01493
KS000364,71,GB05112
KS000365,76,GB05854
KS000366,92,GB06031
KS000367,22,GB06950
KS000368,33,GB04044
KS000369,81,GB05201
KS000370,18,GB02257
KS000371,13,GB07929
KS000372,26,GB02101
KS000373,71,GB05006
KS000374,19,GB04334
KS000375,100,GB08594
KS000376,62,GB02812
KS000377,73,GB08762
KS000378,8,GB02656
KS000379,3,GB02539
KS000380,80,GB01247
KS000381,83,GB07520
KS000382,23,GB06291
KS000383,41,GB01743
KS000384,84,GB03998
KS000385,93,GB04305
KS000386,19,GB00537
KS000387,40,GB05499
KS000388,63,GB08450
KS000389,97,GB01823
KS000390,32,GB01749
KS000391,38,GB05946
KS000392,98,GB06222
KS000393,18,GB06110
KS000394,30,GB00993
KS000395,28,GB00991
KS000396,18,GB04598
KS000397,9,GB03599
KS000398,3,GB00250
KS000399,15,GB01854
KS000400,27,GB01080
KS000401,37,GB06952
KS000402,39,GB05037
KS000403,24,GB01371
KS000404,37,GB04069
KS000405,60,GB07834
KS000406,65,GB00456
KS000407,48,GB05503
KS000408,85,GB02263
KS000409,95,GB02182
KS000410,62,GB07771
KS000411,4,GB02079
KS000412,55,GB00870
KS000413,95,GB05010
KS000414,73,GB07642
KS000415,52,GB07751
KS000416,79,GB09564
KS000417,95,GB08490
KS000418,58,GB03012
KS000419,45,GB06601
KS000420,86,GB09694
KS000421,56,GB05009
KS000422,10,GB01043
KS000423,28,GB05697
KS000424,2,GB07338
KS000425,89,GB07119
KS000426,38,GB06232
KS000427,58,GB02751
KS000428,90,GB07328
KS000429,91,GB06601
KS000430,25,GB03568
KS000431,73,GB06732
KS000432,65,GB00431
KS000433,6,GB07257
KS000434,15,GB01737
KS000435,79,GB04632
KS000436,64,GB05148
KS000437,7,GB05836
KS000438,82,GB03015
KS000439,17,GB00746
KS000440,13,GB01083
KS000441,19,GB07924
KS000442,2,GB04620
KS000443,19,GB02107
KS000444,90,GB06052
KS000445,73,GB03661
KS000446,31,GB02266
KS000447,27,GB09043
KS000448,11,GB04990
KS000449,30,GB03477
KS000450,15,GB06657
KS000451,10,GB07068
KS000452,52,GB07728
KS000453,40,GB05037
KS000454,53,GB09540
KS000455,63,GB00650
KS000456,63,GB01876
KS000457,15,GB09890
KS000458,68,GB09504
KS000459,43,GB01114
KS000460,15,GB01929
KS000461,48,GB08096
KS000462,70,GB07433
KS000463,17,GB03931
KS000464,75,GB00984
KS000465,26,GB08106
KS000466,16,GB05276
KS000467,83,GB06045
KS000468,67,GB06565
KS000469,2,GB02979
KS000470,52,GB04939
KS000471,17,GB03445
KS000472,52,GB02913
KS000473,93,GB04954
KS000474,44,GB08348
KS000475,69,GB04680
KS000476,92,GB06166
KS000477,95,GB09516
KS000478,27,GB07307
KS000479,9,GB04607
KS000480,60,GB09035
KS000481,64,GB05676
KS000482,4,GB08506
KS000483,86,GB00378
KS000484,46,GB07529
KS000485,81,GB01073
KS000486,9,GB08155
KS000487,68,GB04230
KS000488,81,GB05027
KS000489,36,GB00805
KS000490,8,GB02559
KS000491,94,GB07985
KS000492,34,GB08339
KS000493,78,GB04186
KS000494,22,GB04525
KS000495,40,GB03786
KS000496,57,GB09953
KS000497,27,GB06653
KS000498,50,GB07009
KS000499,7,GB04696
KS000500,40,GB08827
KS000501,97,GB06509
KS000502,95,GB07513
KS000503,15,GB01959
KS000504,69,GB08586
KS000505,10,GB06671
KS000506,9,GB08620
KS000507,22,GB08025
KS000508,92,GB07218
KS000509,83,GB03609
KS000510,38,GB07298
KS000511,60,GB04723
KS000512,76,GB06843
KS000513,57,GB08485
KS000514,95,GB04779
KS000515,48,GB02055
KS000516,60,GB03852
KS000517,89,GB03971
KS000518,83,GB01677
KS000519,82,GB08463
KS000520,67,GB01714
KS000521,41,GB06806
KS000522,64,GB05360
KS000523,37,GB01981
KS000524,28,GB05491
KS000525,36,GB05766
KS000526,44,GB07180
KS000527,77,GB07484
KS000528,82,GB00490
KS000529,93,GB07542
KS000530,77,GB01000
KS000531,61,GB07242
KS000532,83,GB00906
KS000533,40,GB06116
KS000534,44,GB03449
KS000535,4,GB00323
KS000536,10,GB07946
KS000537,26,GB01702
KS000538,100,GB04296
KS000539,14,GB02480
KS000540,61,GB02820
KS000541,45,GB09630
KS000542,23,GB01777
KS000543,82,GB03006
KS000544,74,GB09081
KS000545,46,GB06258
KS000546,58,GB02084
KS000547,34,GB00857
KS000548,47,GB05997
KS000549,44,GB02664
KS000550,42,GB01714
KS000551,64,GB07687
KS000552,37,GB08713
KS000553,46,GB07063
KS000554,42,GB02557
KS000555,84,GB06612
KS000556,40,GB02551
KS000557,98,GB04419
KS000558,28,GB07173
KS000559,40,GB02531
KS000560,65,GB02216
KS000561,20,GB00388
KS000562,24,GB02084
KS000563,7,GB04509
KS000564,10,GB00058
KS000565,54,GB04794
KS000566,74,GB06649
KS000567,6,GB07498
KS000568,21,GB06161
KS000569,44,GB02563
KS000570,92,GB01011
KS000571,88,GB01751
KS000572,93,GB04565
KS000573,66,GB07559
KS000574,54,GB00772
KS000575,80,GB06738
KS000576,58,GB03800
KS000577,57,GB02790
KS000578,48,GB00550
KS000579,8,GB09398
KS000580,31,GB02635
KS000581,16,GB09388
KS000582,44,GB06386
KS000583,93,GB03197
KS000584,23,GB00971
KS000585,48,GB00018
KS000586,55,GB05692
KS000587,6,GB06504
KS000588,73,GB06362
KS000589,81,GB01860
KS000590,87,GB05502
KS000591,70,GB08518
KS000592,33,GB04466
KS000593,86,GB05755
KS000594,17,GB03563
KS000595,51,GB04097
KS000596,75,GB04332
KS000597,10,GB01696
KS000598,96,GB00447
KS000599,5,GB02796
KS000600,5,GB08811
KS000601,73,GB06149
KS000602,63,GB06618
KS000603,96,GB00559
KS000604,39,GB00959
KS000605,53,GB02356
KS000606,32,GB03056
KS000607,13,GB05941
KS000608,16,GB07640
KS000609,41,GB02042
KS000610,78,GB06166
KS000611,61,GB09671
KS000612,23,GB09447
KS000613,53,GB00450
KS000614,44,GB08570
KS000615,56,GB05795
KS000616,30,GB01321
KS000617,35,GB03471
KS000618,35,GB02919
KS000619,23,GB00538
KS000620,64,GB00765
KS000621,37,GB03556
KS000622,11,GB00742
KS000623,59,GB07495
KS000624,22,GB02720
KS000625,19,GB09198
KS000626,60,GB04159
KS000627,80,GB09789
KS000628,43,GB08302
KS000629,73,GB03154
KS000630,94,GB06558
KS000631,63,GB04802
KS000632,22,GB08860
KS000633,94,GB06513
KS000634,5,GB01345
KS000635,63,GB06421
KS000636,89,GB07720
KS000637,86,GB08681
KS000638,58,GB03497
KS000639,65,GB08454
KS000640,8,GB01935
KS000641,14,GB01045
KS000642,27,GB00543
KS000643,84,GB05736
KS000644,23,GB09512
KS000645,20,GB03406
KS000646,68,GB03646
KS000647,47,GB02694
KS000648,19,GB03447
KS000649,60,GB08091
KS000650,43,GB00725
KS000651,35,GB04695
KS000652,68,GB00492
KS000653,51,GB03968
KS000654,81,GB03066
KS000655,34,GB04566
KS000656,71,GB09986
KS000657,52,GB08993
KS000658,33,GB06714
KS000659,5,GB04567
KS000660,15,GB02775
KS000661,54,GB01718
KS000662,51,GB06004
KS000663,42,GB05096
KS000664,17,GB07653
KS000665,75,GB04058
KS000666,26,GB09634
KS000667,74,GB07682
KS000668,8,GB02168
KS000669,16,GB04880
KS000670,86,GB06241
KS000671,10,GB06317
KS000672,79,GB00571
KS000673,40,GB07760
KS000674,86,GB06227
KS000675,10,GB00827
KS000676,20,GB07001
KS000677,85,GB06009
KS000678,34,GB04813
KS000679,11,GB09618
KS000680,96,GB00730
KS000681,97,GB04345
KS000682,26,GB08017
KS000683,60,GB00543
KS000684,22,GB06791
KS000685,59,GB00539
KS000686,43,GB00174
KS000687,27,GB05266
KS000688,53,GB02759
KS000689,31,GB07391
KS000690,24,GB04493
KS000691,51,GB04400
KS000692,99,GB05333
KS000693,51,GB00158
KS000694,38,GB08804
KS000695,98,GB05854
KS000696,12,GB01394
KS000697,75,GB09719
KS000698,5,GB06629
KS000699,41,GB06438
KS000700,94,GB03856
KS000701,23,GB03050
KS000702,87,GB06624
KS000703,63,GB09916
KS000704,10,GB01891
KS000705,10,GB08051
KS000706,66,GB05518
KS000707,15,GB02945
KS000708,45,GB09876
KS000709,92,GB02808
KS000710,88,GB07441
KS000711,23,GB09531
KS000712,10,GB06643
KS000713,77,GB04771
KS000714,18,GB02390
KS000715,17,GB09944
KS000716,19,GB05705
KS000717,32,GB08951
KS000718,33,GB01159
KS000719,71,GB07260
KS000720,43,GB07839
KS000721,50,GB01420
KS000722,63,GB06640
KS000723,48,GB07940
KS000724,21,GB02620
KS000725,86,GB04233
KS000726,47,GB08533
KS000727,67,GB03860
KS000728,56,GB07093
KS000729,2,GB08187
KS000730,75,GB09169
KS000731,28,GB03849
KS000732,85,GB04631
KS000733,7,GB08418
KS000734,26,GB03187
KS000735,61,GB08377
KS000736,28,GB06429
KS000737,82,GB01842
KS000738,46,GB09443
KS000739,24,GB06375
KS000740,54,GB08560
KS000741,52,GB06268
KS000742,83,GB08482
KS000743,4,GB08882
KS000744,3,GB07887
KS000745,76,GB06050
KS000746,54,GB05504
KS000747,31,GB00834
KS000748,4,GB00811
KS000749,24,GB02345
KS000750,63,GB05974
KS000751,2,GB03305
KS000752,89,GB06704
KS000753,85,GB00259
KS000754,36,GB07707
KS000755,1,GB02546
KS000756,72,GB00585
KS000757,31,GB03640
KS000758,58,GB01426
KS000759,34,GB02327
KS000760,88,GB01827
KS000761,28,GB07738
KS000762,37,GB07366
KS000763,23,GB08173
KS000764,73,GB03731
KS000765,75,GB02875
KS000766,81,GB02358
KS000767,88,GB06679
KS000768,93,GB08247
KS000769,80,GB04561
KS000770,74,GB05370
KS000771,34,GB02586
KS000772,64,GB06826
KS000773,95,GB02064
KS000774,79,GB04037
KS000775,94,GB04040
KS000776,51,GB09407
KS000777,66,GB03511
KS000778,19,GB05069
KS000779,4,GB07723
KS000780,23,GB08439
KS000781,11,GB05663
KS000782,79,GB08231
KS000783,14,GB06824
KS000784,10,GB08212
KS000785,4,GB09659
KS000786,65,GB00505
KS000787,77,GB08754
KS000788,72,GB01023
KS000789,34,GB00319
KS000790,80,GB03406
KS000791,30,GB06456
KS000792,93,GB02900
KS000793,57,GB02402
KS000794,35,GB04951
KS000795,43,GB02082
KS000796,24,GB07929
KS000797,47,GB09868
KS000798,34,GB02230
KS000799,50,GB08005
KS000800,30,GB02194
KS000801,89,GB07936
KS000802,23,GB03038
KS000803,19,GB01670
KS000804,41,GB05707
KS000805,31,GB02393
KS000806,41,GB00823
KS000807,100,GB01579
KS000808,51,GB09478
KS000809,25,GB03046
KS000810,73,GB07252
KS000811,33,GB05923
KS000812,13,GB01399
KS000813,91,GB06466
KS000814,44,GB01123
KS000815,55,GB00070
KS000816,70,GB06537
KS000817,23,GB04853
KS000818,76,GB05325
KS000819,14,GB03683
KS000820,26,GB09521
KS000821,55,GB06982
KS000822,93,GB00077
KS000823,95,GB05588
KS000824,60,GB05304
KS000825,20,GB09421
KS000826,52,GB06474
KS000827,96,GB04995
KS000828,62,GB01077
KS000829,88,GB01532
KS000830,66,GB01405
KS000831,28,GB02206
KS000832,85,GB00063
KS000833,59,GB02541
KS000834,25,GB09394
KS000835,16,GB09552
KS000836,91,GB01430
KS000837,69,GB04311
KS000838,52,GB05401
KS000839,47,GB00889
KS000840,100,GB06731
KS000841,28,GB07089
KS000842,75,GB08333
KS000843,44,GB01038
KS000844,49,GB07506
KS000845,95,GB06890
KS000846,84,GB05910
KS000847,46,GB09511
KS000848,10,GB09781
KS000849,49,GB06758
KS000850,75,GB07256
KS000851,52,GB01007
KS000852,95,GB03012
KS000853,18,GB03233
KS000854,49,GB04502
KS000855,40,GB09374
KS000856,91,GB09394
KS000857,45,GB01707
KS000858,38,GB03842
KS000859,58,GB00075
KS000860,95,GB04407
KS000861,26,GB04128
KS000862,20,GB04863
KS000863,78,GB01698
KS000864,54,GB02545
KS000865,56,GB03237
KS000866,16,GB08151
KS000867,60,GB07691
KS000868,98,GB04450
KS000869,91,GB04480
KS000870,19,GB02968
KS000871,19,GB01619
KS000872,24,GB04941
KS000873,17,GB01765
KS000874,92,GB09673
KS000875,62,GB03143
KS000876,66,GB01518
KS000877,86,GB09443
KS000878,4,GB03811
KS000879,33,GB07271
KS000880,27,GB01704
KS000881,59,GB05353
KS000882,13,GB00513
KS000883,85,GB02895
KS000884,76,GB05986
KS000885,70,GB03874
KS000886,94,GB09168
KS000887,42,GB00242
KS000888,65,GB03372
KS000889,31,GB02758
KS000890,61,GB01657
KS000891,4,GB04890
KS000892,41,GB03396
KS000893,95,GB05286
KS000894,12,GB03565
KS000895,41,GB06988
KS000896,94,GB03306
KS000897,87,GB04830
KS000898,29,GB01073
KS000899,90,GB07201
KS000900,10,GB09920
KS000901,87,GB01057
KS000902,49,GB03773
KS000903,26,GB05706
KS000904,34,GB07312
KS000905,81,GB01395
KS000906,90,GB05874
KS000907,34,GB03460
KS000908,32,GB08289
KS000909,22,GB05303
KS000910,39,GB01766
KS000911,63,GB06721
KS000912,70,GB09363
KS000913,19,GB02411
KS000914,5,GB06522
KS000915,70,GB02179
KS000916,73,GB09698
KS000917,93,GB04174
KS000918,44,GB09029
KS000919,89,GB00681
KS000920,23,GB08393
KS000921,39,GB05679
KS000922,59,GB01942
KS000923,87,GB09121
KS000924,54,GB09387
KS000925,88,GB01639
KS000926,97,GB09244
KS000927,85,GB08426
KS000928,11,GB07000
KS000929,96,GB02884
KS000930,48,GB04807
KS000931,77,GB09914
KS000932,26,GB01750
KS000933,39,GB05280
KS000934,32,GB06853
KS000935,44,GB01636
KS000936,26,GB03556
KS000937,67,GB07105
KS000938,15,GB03655
KS000939,54,GB07635
KS000940,89,GB04765
KS000941,50,GB01340
KS000942,56,GB01647
KS000943,55,GB00178
KS000944,41,GB04468
KS000945,31,GB03712
KS000946,58,GB00326
KS000947,62,GB03882
KS000948,49,GB07695
KS000949,11,GB02082
KS000950,64,GB04255
KS000951,62,GB00067
KS000952,54,GB09921
KS000953,97,GB06142
KS000954,31,GB01280
KS000955,23,GB01770
KS000956,59,GB08662
KS000957,99,GB09746
KS000958,39,GB00007
KS000959,85,GB06355
KS000960,80,GB07391
KS000961,18,GB09734
KS000962,55,GB07313
KS000963,19,GB00863
KS000964,35,GB01460
KS000965,71,GB07046
KS000966,22,GB03202
KS000967,9,GB01733
KS000968,83,GB06178
KS000969,57,GB09044
KS000970,81,GB07410
KS000971,41,GB09146
KS000972,50,GB04225
KS000973,63,GB04236
KS000974,2,GB01918
KS000975,78,GB02357
KS000976,82,GB05958
KS000977,45,GB04043
KS000978,16,GB07423
KS000979,43,GB05345
KS000980,1,GB04268
KS000981,51,GB01685
KS000982,56,GB01839
KS000983,38,GB03834
KS000984,70,GB04455
KS000985,7,GB03715
KS000986,78,GB07636
KS000987,17,GB06204
KS000988,62,GB05510
KS000989,37,GB05664
KS000990,57,GB06852
KS000991,76,GB00941
KS000992,75,GB04822
KS000993,12,GB04228
KS000994,17,GB05830
KS000995,85,GB01013
KS000996,79,GB05778
KS000997,51,GB03222
KS000998,53,GB00922
KS000999,28,GB08347
KS001000,43,GB05278
KS001001,21,GB08309
KS001002,97,GB08567
KS001003,24,GB03111
KS001004,15,GB03443
KS001005,20,GB07005
KS001006,63,GB08385
KS001007,28,GB05058
KS001008,26,GB05881
KS001009,69,GB05977
KS001010,80,GB09486
KS001011,14,GB09937
KS001012,60,GB07638
KS001013,53,GB04051
KS001014,66,GB05931
KS001015,66,GB06420
KS001016,91,GB09431
KS001017,19,GB02323
KS001018,43,GB04420
KS001019,30,GB07992
KS001020,89,GB06669
KS001021,26,GB06897
KS001022,52,GB02894
KS001023,65,GB08149
KS001024,13,GB01259
KS001025,60,GB01899
KS001026,56,GB06078
KS001027,28,GB05612
KS001028,77,GB05454
KS001029,45,GB03200
KS001030,78,GB04413
KS001031,48,GB00781
KS001032,55,GB09309
KS001033,67,GB05520
KS001034,65,GB02105
KS001035,78,GB04320
KS001036,69,GB06767
KS001037,31,GB01002
KS001038,78,GB09401
KS001039,94,GB07565
KS001040,91,GB02466
KS001041,67,GB05465
KS001042,42,GB04534
KS001043,16,GB07319
KS001044,75,GB03349
KS001045,90,GB04903
KS001046,29,GB01396
KS001047,40,GB09273
KS001048,91,GB01945
KS001049,34,GB02604
KS001050,10,GB05837
KS001051,33,GB05080
KS001052,93,GB00544
KS001053,75,GB06577
KS001054,60,GB06380
KS001055,19,GB05101
KS001056,19,GB09016
KS001057,47,GB08104
KS001058,34,GB00541
KS001059,40,GB00371
KS001060,100,GB06063
KS001061,21,GB07945
KS001062,82,GB07623
KS001063,3,GB03295
KS001064,48,GB04121
KS001065,60,GB07062
KS001066,49,GB03793
KS001067,7,GB07419
KS001068,85,GB07235
KS001069,74,GB09956
KS001070,63,GB05251
KS001071,10,GB00008
KS001072,75,GB00462
KS001073,51,GB05794
KS001074,99,GB01614
KS001075,80,GB04636
KS001076,3,GB07990
KS001077,22,GB03744
KS001078,36,GB06687
KS001079,14,GB05941
KS001080,93,GB00685
KS001081,35,GB01939
KS001082,92,GB01025
KS001083,64,GB00818
KS001084,66,GB02506
KS001085,73,GB02483
KS001086,18,GB00863
KS001087,76,GB02352
KS001088,41,GB01443
KS001089,97,GB03451
KS001090,80,GB00465
KS001091,1,GB02939
KS001092,75,GB05832
KS001093,6,GB01049
KS001094,95,GB01535
KS001095,39,GB07229
KS001096,33,GB07304
KS001097,23,GB09375
KS001098,8,GB05693
KS001099,48,GB05276
KS001100,17,GB03943
KS001101,62,GB08258
KS001102,25,GB00458
KS001103,33,GB08103
KS001104,45,GB07866
KS001105,90,GB04800
KS001106,41,GB06173
KS001107,70,GB04640
KS001108,37,GB02235
KS001109,49,GB03800
KS001110,26,GB03453
KS001111,32,GB09144
KS001112,70,GB05039
KS001113,94,GB06790
KS001114,44,GB01085
KS001115,74,GB00689
KS001116,27,GB04768
KS001117,72,GB03275
KS001118,7,GB09162
KS001119,18,GB04827
KS001120,12,GB03416
KS001121,6,GB01926
KS001122,55,GB00804
KS001123,52,GB04173
KS001124,85,GB04309
KS001125,75,GB00673
KS001126,26,GB05999
KS001127,82,GB09273
KS001128,32,GB04763
KS001129,16,GB07952
KS001130,88,GB07931
KS001131,95,GB03186
KS001132,27,GB04665
KS001133,92,GB03830
KS001134,97,GB00696
KS001135,98,GB07437
KS001136,15,GB08963
KS001137,93,GB02489
KS001138,13,GB08706
KS001139,21,GB01508
KS001140,50,GB00277
KS001141,56,GB03086
KS001142,73,GB02703
KS001143,29,GB01099
KS001144,68,GB06164
KS001145,60,GB08537
KS001146,15,GB01392
KS001147,85,GB00447
KS001148,70,GB00996
KS001149,20,GB03860
KS001150,70,GB09128
KS001151,31,GB06540
KS001152,74,GB07859
KS001153,1,GB02301
KS001154,86,GB05831
KS001155,58,GB09964
KS001156,41,GB03929
KS001157,46,GB06932
KS001158,40,GB04431
KS001159,85,GB01046
KS001160,9,GB09925
KS001161,84,GB03101
KS001162,45,GB04784
