ID_Perjalanan,ID_StasiunAwal,ID_StasiunTujuan,ID_Kereta,Tgl_Keberangkatan,Waktu_Keberangkatan,Tgl_Tiba,Waktu_Tiba,Harga_Tiket
PRJ0000026,ST03982,ST01697,KRT08637,2025-11-07,20:07:09,2025-11-08,01:07:09,371035
PRJ0000027,ST06792,ST00356,KRT05381,2025-10-20,12:01:52,2025-10-20,19:01:52,65719
PRJ0000028,ST00285,ST04513,KRT08405,2025-11-13,22:47:07,2025-11-14,04:47:07,191208
PRJ0000029,ST07854,ST05116,KRT00648,2025-10-23,22:52:18,2025-10-24,02:52:18,339040
PRJ0000030,ST00497,ST02654,KRT09907,2025-11-12,11:21:29,2025-11-12,12:21:29,294900
PRJ0000031,ST01745,ST04244,KRT09701,2025-11-10,12:32:17,2025-11-10,13:32:17,414704
PRJ0000032,ST06834,ST04561,KRT04533,2025-11-07,12:25:50,2025-11-07,19:25:50,227423
PRJ0000033,ST02968,ST05004,KRT08896,2025-11-14,15:45:57,2025-11-14,20:45:57,67406
PRJ0000034,ST02783,ST07806,KRT04842,2025-10-31,07:10:33,2025-10-31,13:10:33,435404
PRJ0000035,ST03558,ST00693,KRT01821,2025-11-13,09:18:59,2025-11-13,17:18:59,405054
PRJ0000036,ST04935,ST01351,KRT08185,2025-10-26,09:15:12,2025-10-26,17:15:12,189804
PRJ0000037,ST01737,ST05989,KRT09612,2025-10-30,17:12:49,2025-10-31,01:12:49,174084
PRJ0000038,ST09715,ST06544,KRT02699,2025-11-09,11:48:53,2025-11-09,16:48:53,271098
PRJ0000039,ST03561,ST07113,KRT01238,2025-10-22,21:10:26,2025-10-23,04:10:26,73515
PRJ0000040,ST07535,ST06583,KRT08090,2025-10-29,11:55:55,2025-10-29,13:55:55,172336
PRJ0000041,ST00246,ST02752,KRT04255,2025-10-21,02:26:21,2025-10-21,10:26:21,349543
PRJ0000042,ST01020,ST04174,KRT01611,2025-11-18,09:26:45,2025-11-18,16:26:45,67505
PRJ0000043,ST01704,ST07332,KRT07374,2025-10-20,23:32:11,2025-10-21,02:32:11,170021
PRJ0000044,ST09032,ST01986,KRT06837,2025-11-05,12:58:05,2025-11-05,17:58:05,378535
PRJ0000045,ST05742,ST03929,KRT01335,2025-10-25,10:03:37,2025-10-25,15:03:37,228963
PRJ0000046,ST02819,ST04103,KRT01497,2025-10-23,02:09:54,2025-10-23,03:09:54,31316
PRJ0000047,ST02289,ST00809,KRT08237,2025-10-28,04:28:57,2025-10-28,07:28:57,333359
PRJ0000048,ST09593,ST05743,KRT05049,2025-10-20,10:56:58,2025-10-20,16:56:58,404552
PRJ0000049,ST08605,ST01992,KRT06639,2025-10-27,02:37:59,2025-10-27,10:37:59,122091
PRJ0000050,ST07811,ST03716,KRT02350,2025-10-28,03:09:40,2025-10-28,05:09:40,379306
PRJ0000051,ST09376,ST03384,KRT04150,2025-10-22,13:07:08,2025-10-22,18:07:08,52522
PRJ0000052,ST07457,ST02704,KRT07686,2025-11-14,04:56:30,2025-11-14,06:56:30,68040
PRJ0000053,ST04138,ST06078,KRT00986,2025-11-13,11:38:02,2025-11-13,18:38:02,451210
PRJ0000054,ST02375,ST06786,KRT01094,2025-10-23,20:43:36,2025-10-24,04:43:36,473716
PRJ0000055,ST05085,ST00575,KRT00401,2025-10-26,06:52:58,2025-10-26,13:52:58,108418
PRJ0000056,ST06310,ST03322,KRT09087,2025-11-01,05:51:02,2025-11-01,07:51:02,261633
PRJ0000057,ST06239,ST04154,KRT04136,2025-10-20,06:34:00,2025-10-20,14:34:00,80680
PRJ0000058,ST04093,ST09826,KRT00638,2025-10-23,17:34:08,2025-10-24,00:34:08,246119
PRJ0000059,ST00040,ST09454,KRT08793,2025-10-27,14:52:07,2025-10-27,21:52:07,266426
PRJ0000060,ST00005,ST00326,KRT03975,2025-11-17,05:58:35,2025-11-17,06:58:35,64735
PRJ0000061,ST03300,ST00644,KRT00232,2025-11-12,12:37:55,2025-11-12,16:37:55,182067
PRJ0000062,ST02919,ST05858,KRT01435,2025-11-02,00:57:18,2025-11-02,08:57:18,206275
PRJ0000063,ST00972,ST09164,KRT03459,2025-11-01,02:29:45,2025-11-01,04:29:45,336741
PRJ0000064,ST09961,ST00844,KRT05660,2025-10-30,17:20:56,2025-10-30,19:20:56,381459
PRJ0000065,ST05021,ST00379,KRT06525,2025-11-04,17:09:09,2025-11-04,23:09:09,452980
PRJ0000066,ST02781,ST06704,KRT06123,2025-11-04,04:14:48,2025-11-04,10:14:48,339726
PRJ0000067,ST01663,ST09329,KRT03362,2025-11-04,09:07:02,2025-11-04,17:07:02,201772
PRJ0000068,ST09882,ST08872,KRT07373,2025-10-29,12:48:27,2025-10-29,18:48:27,184031
PRJ0000069,ST06853,ST09840,KRT04382,2025-11-01,11:31:57,2025-11-01,12:31:57,332786
PRJ0000070,ST01518,ST05522,KRT01716,2025-10-25,09:13:50,2025-10-25,16:13:50,147074
PRJ0000071,ST09458,ST06034,KRT05593,2025-11-09,08:15:57,2025-11-09,09:15:57,158678
PRJ0000072,ST08141,ST09544,KRT02958,2025-11-12,05:48:43,2025-11-12,06:48:43,243219
PRJ0000073,ST02589,ST04378,KRT09432,2025-10-28,15:14:59,2025-10-28,17:14:59,154921
PRJ0000074,ST02183,ST09601,KRT03047,2025-10-30,10:30:09,2025-10-30,15:30:09,497367
PRJ0000075,ST08499,ST07878,KRT08053,2025-10-24,04:44:01,2025-10-24,07:44:01,494190
PRJ0000076,ST06843,ST05268,KRT01943,2025-11-13,02:09:56,2025-11-13,04:09:56,395662
PRJ0000077,ST04922,ST00570,KRT00690,2025-11-01,06:44:49,2025-11-01,09:44:49,470465
PRJ0000078,ST00296,ST08163,KRT00392,2025-10-25,00:11:13,2025-10-25,04:11:13,91562
PRJ0000079,ST06272,ST05973,KRT07875,2025-10-21,19:02:32,2025-10-21,22:02:32,228046
PRJ0000080,ST08011,ST06622,KRT03927,2025-10-25,17:44:32,2025-10-26,01:44:32,254392
PRJ0000081,ST09410,ST01893,KRT01186,2025-11-04,04:51:16,2025-11-04,12:51:16,431878
PRJ0000082,ST00468,ST04740,KRT01068,2025-11-11,22:55:26,2025-11-12,02:55:26,162578
PRJ0000083,ST00551,ST06526,KRT06531,2025-11-01,09:03:57,2025-11-01,12:03:57,294791
PRJ0000084,ST04120,ST08174,KRT01405,2025-11-06,12:46:19,2025-11-06,15:46:19,135107
PRJ0000085,ST07841,ST06303,KRT01614,2025-11-05,17:26:58,2025-11-05,19:26:58,420332
PRJ0000086,ST04341,ST07218,KRT04216,2025-11-11,21:04:09,2025-11-12,00:04:09,189973
PRJ0000087,ST08865,ST01652,KRT07107,2025-11-06,21:17:50,2025-11-07,03:17:50,448933
PRJ0000088,ST04566,ST02168,KRT03248,2025-11-03,23:46:52,2025-11-04,06:46:52,184907
PRJ0000089,ST06990,ST04446,KRT01780,2025-11-06,17:55:17,2025-11-06,23:55:17,344272
PRJ0000090,ST05699,ST01859,KRT01412,2025-10-24,13:36:03,2025-10-24,15:36:03,229436
PRJ0000091,ST04014,ST01667,KRT08432,2025-11-07,01:19:42,2025-11-07,06:19:42,406682
PRJ0000092,ST07207,ST01204,KRT01831,2025-11-01,19:12:46,2025-11-02,01:12:46,204930
PRJ0000093,ST04334,ST06250,KRT00303,2025-11-10,20:10:01,2025-11-10,23:10:01,159429
PRJ0000094,ST01892,ST03568,KRT01859,2025-10-29,11:08:32,2025-10-29,19:08:32,450582
PRJ0000095,ST09085,ST09748,KRT07655,2025-11-12,23:13:52,2025-11-13,03:13:52,107620
PRJ0000096,ST06508,ST06970,KRT06744,2025-11-06,14:41:53,2025-11-06,20:41:53,99840
PRJ0000097,ST08247,ST05889,KRT07291,2025-11-02,22:40:40,2025-11-03,02:40:40,37193
PRJ0000098,ST04844,ST05050,KRT04483,2025-11-04,12:04:56,2025-11-04,13:04:56,79995
PRJ0000099,ST03116,ST06573,KRT04159,2025-10-23,10:44:50,2025-10-23,17:44:50,378956
PRJ0000100,ST04183,ST07036,KRT04491,2025-11-17,22:13:30,2025-11-17,23:13:30,114883
PRJ0000101,ST07024,ST06558,KRT04573,2025-10-20,07:52:30,2025-10-20,14:52:30,424240
PRJ0000102,ST05820,ST00762,KRT09226,2025-11-12,13:54:07,2025-11-12,16:54:07,331242
PRJ0000103,ST07505,ST01239,KRT02046,2025-11-08,21:17:25,2025-11-09,01:17:25,160881
PRJ0000104,ST09849,ST04265,KRT02060,2025-11-11,14:48:48,2025-11-11,22:48:48,488328
PRJ0000105,ST03945,ST05448,KRT04209,2025-10-31,05:55:17,2025-10-31,08:55:17,412651
PRJ0000106,ST08601,ST08661,KRT01567,2025-11-06,16:58:59,2025-11-06,17:58:59,280497
PRJ0000107,ST06593,ST03726,KRT02348,2025-10-29,05:19:10,2025-10-29,07:19:10,189259
PRJ0000108,ST09306,ST01035,KRT06382,2025-11-01,13:44:02,2025-11-01,19:44:02,69304
PRJ0000109,ST08387,ST06309,KRT02449,2025-10-20,04:26:40,2025-10-20,07:26:40,88540
PRJ0000110,ST04948,ST03747,KRT08553,2025-11-18,17:53:07,2025-11-18,18:53:07,362546
PRJ0000111,ST01900,ST05793,KRT03073,2025-10-22,23:29:00,2025-10-23,07:29:00,368790
PRJ0000112,ST02479,ST04395,KRT01835,2025-10-28,13:42:34,2025-10-28,17:42:34,389416
PRJ0000113,ST09987,ST01374,KRT04242,2025-11-06,15:08:40,2025-11-06,21:08:40,340231
PRJ0000114,ST03050,ST09381,KRT09753,2025-10-23,21:25:18,2025-10-24,04:25:18,316294
PRJ0000115,ST04649,ST05854,KRT09627,2025-10-31,08:41:49,2025-10-31,16:41:49,96833
PRJ0000116,ST08395,ST07249,KRT06636,2025-11-07,14:37:57,2025-11-07,17:37:57,421220
PRJ0000117,ST00273,ST08010,KRT08071,2025-11-04,06:32:51,2025-11-04,08:32:51,301501
PRJ0000118,ST00344,ST09768,KRT05631,2025-10-31,13:22:38,2025-10-31,21:22:38,479732
PRJ0000119,ST02218,ST09044,KRT03223,2025-11-17,13:44:44,2025-11-17,19:44:44,64018
PRJ0000120,ST02111,ST00287,KRT03908,2025-11-02,13:43:14,2025-11-02,21:43:14,89543
PRJ0000121,ST07231,ST03471,KRT05217,2025-11-01,17:50:08,2025-11-01,22:50:08,346671
PRJ0000122,ST08460,ST03114,KRT05263,2025-11-15,16:31:42,2025-11-15,21:31:42,155437
PRJ0000123,ST09155,ST04861,KRT02875,2025-11-06,07:02:59,2025-11-06,15:02:59,378021
PRJ0000124,ST07935,ST07632,KRT05120,2025-11-02,03:07:29,2025-11-02,05:07:29,141182
PRJ0000125,ST05839,ST00820,KRT09165,2025-10-30,12:44:44,2025-10-30,17:44:44,463546
PRJ0000126,ST04024,ST02357,KRT06467,2025-11-09,07:56:07,2025-11-09,14:56:07,70030
PRJ0000127,ST07831,ST06209,KRT06699,2025-11-06,23:37:50,2025-11-07,04:37:50,206291
PRJ0000128,ST08762,ST07850,KRT09006,2025-10-22,01:11:53,2025-10-22,06:11:53,238735
PRJ0000129,ST06135,ST07237,KRT08367,2025-11-14,07:43:24,2025-11-14,14:43:24,273740
PRJ0000130,ST06480,ST04018,KRT05777,2025-11-01,05:13:12,2025-11-01,10:13:12,48297
PRJ0000131,ST08709,ST02357,KRT07670,2025-10-28,03:18:47,2025-10-28,04:18:47,349910
PRJ0000132,ST00801,ST04943,KRT08525,2025-10-25,17:22:21,2025-10-26,00:22:21,446811
PRJ0000133,ST03414,ST02963,KRT03466,2025-11-18,22:47:20,2025-11-19,01:47:20,272635
PRJ0000134,ST05894,ST09555,KRT01388,2025-10-30,07:21:12,2025-10-30,12:21:12,289627
PRJ0000135,ST05031,ST05870,KRT03921,2025-10-21,11:31:04,2025-10-21,17:31:04,489259
PRJ0000136,ST05017,ST00517,KRT09420,2025-10-30,03:20:08,2025-10-30,05:20:08,54853
PRJ0000137,ST09433,ST09134,KRT06810,2025-11-03,17:44:06,2025-11-04,00:44:06,404694
PRJ0000138,ST04245,ST07270,KRT07444,2025-11-01,18:25:04,2025-11-01,19:25:04,459367
PRJ0000139,ST03140,ST07690,KRT07268,2025-11-11,18:06:25,2025-11-11,19:06:25,394031
PRJ0000140,ST04452,ST03276,KRT07257,2025-10-27,12:40:37,2025-10-27,17:40:37,293130
PRJ0000141,ST05675,ST00647,KRT02931,2025-11-18,04:08:20,2025-11-18,05:08:20,422987
PRJ0000142,ST09254,ST08385,KRT09843,2025-11-07,22:25:39,2025-11-07,23:25:39,485306
PRJ0000143,ST06746,ST05375,KRT00548,2025-10-23,21:22:15,2025-10-24,03:22:15,328045
PRJ0000144,ST04690,ST02895,KRT06283,2025-11-14,11:25:16,2025-11-14,13:25:16,387684
PRJ0000145,ST08401,ST05349,KRT07104,2025-11-17,07:56:18,2025-11-17,09:56:18,494016
PRJ0000146,ST03229,ST05719,KRT02547,2025-11-15,22:57:24,2025-11-16,06:57:24,290577
PRJ0000147,ST00112,ST08570,KRT01718,2025-11-18,17:26:51,2025-11-19,01:26:51,486659
PRJ0000148,ST08307,ST08849,KRT01311,2025-11-01,01:16:06,2025-11-01,05:16:06,244544
PRJ0000149,ST07087,ST04966,KRT06427,2025-10-21,23:08:16,2025-10-22,05:08:16,381683
PRJ0000150,ST09808,ST03680,KRT06471,2025-11-15,09:45:59,2025-11-15,12:45:59,67351
PRJ0000151,ST01391,ST02002,KRT08477,2025-11-05,15:16:44,2025-11-05,21:16:44,302446
PRJ0000152,ST02647,ST04540,KRT07221,2025-10-29,04:48:18,2025-10-29,07:48:18,395345
PRJ0000153,ST08724,ST01098,KRT04036,2025-10-29,22:52:46,2025-10-29,23:52:46,311384
PRJ0000154,ST00904,ST00903,KRT05889,2025-11-07,22:50:33,2025-11-07,23:50:33,280731
PRJ0000155,ST03951,ST07920,KRT04650,2025-10-20,01:24:53,2025-10-20,03:24:53,458679
PRJ0000156,ST02740,ST02670,KRT09739,2025-11-07,01:33:33,2025-11-07,09:33:33,240113
PRJ0000157,ST00753,ST03969,KRT06408,2025-10-27,17:25:45,2025-10-28,00:25:45,117703
PRJ0000158,ST04493,ST04494,KRT02120,2025-11-16,15:29:00,2025-11-16,19:29:00,150373
PRJ0000159,ST07467,ST08908,KRT07932,2025-11-04,17:51:51,2025-11-04,23:51:51,217209
PRJ0000160,ST04182,ST09616,KRT06251,2025-11-05,15:32:16,2025-11-05,18:32:16,462171
PRJ0000161,ST02366,ST07957,KRT07340,2025-10-28,14:14:10,2025-10-28,22:14:10,414917
PRJ0000162,ST03377,ST00294,KRT07016,2025-10-22,04:14:37,2025-10-22,07:14:37,135767
PRJ0000163,ST00739,ST03934,KRT05895,2025-11-14,00:26:28,2025-11-14,02:26:28,251939
PRJ0000164,ST00611,ST08418,KRT06090,2025-10-22,23:33:04,2025-10-23,07:33:04,488973
PRJ0000165,ST05656,ST01261,KRT09455,2025-11-04,17:04:34,2025-11-05,01:04:34,145194
PRJ0000166,ST09906,ST02177,KRT05141,2025-11-10,08:22:16,2025-11-10,09:22:16,425195
PRJ0000167,ST01175,ST07947,KRT08354,2025-11-14,14:12:09,2025-11-14,22:12:09,74911
PRJ0000168,ST09029,ST09018,KRT09741,2025-10-24,18:46:17,2025-10-25,02:46:17,161909
PRJ0000169,ST04191,ST04253,KRT01976,2025-11-11,03:26:02,2025-11-11,06:26:02,143402
PRJ0000170,ST08454,ST01989,KRT00924,2025-11-11,18:43:16,2025-11-11,20:43:16,176583
PRJ0000171,ST07935,ST03969,KRT01638,2025-11-15,17:47:02,2025-11-15,19:47:02,458660
PRJ0000172,ST09664,ST07243,KRT06804,2025-11-17,02:09:29,2025-11-17,08:09:29,424825
PRJ0000173,ST08620,ST03609,KRT07871,2025-10-22,08:49:28,2025-10-22,11:49:28,240734
PRJ0000174,ST00268,ST04386,KRT07124,2025-10-20,13:44:29,2025-10-20,19:44:29,420432
PRJ0000175,ST09665,ST09183,KRT06884,2025-11-01,06:55:06,2025-11-01,14:55:06,487102
PRJ0000176,ST03476,ST04845,KRT04114,2025-10-20,08:38:14,2025-10-20,15:38:14,205057
PRJ0000177,ST07584,ST02160,KRT00879,2025-10-25,01:58:07,2025-10-25,04:58:07,139085
PRJ0000178,ST03151,ST00468,KRT03665,2025-11-16,08:17:02,2025-11-16,14:17:02,350630
PRJ0000179,ST08992,ST09077,KRT05888,2025-10-23,06:43:44,2025-10-23,14:43:44,49093
PRJ0000180,ST06983,ST07953,KRT00945,2025-11-07,01:25:18,2025-11-07,08:25:18,299666
PRJ0000181,ST02562,ST00310,KRT07267,2025-10-30,11:37:09,2025-10-30,15:37:09,165097
PRJ0000182,ST02866,ST03990,KRT02223,2025-10-26,17:56:46,2025-10-26,21:56:46,76426
PRJ0000183,ST02671,ST07188,KRT01340,2025-11-14,03:32:44,2025-11-14,04:32:44,298638
PRJ0000184,ST00171,ST09179,KRT01005,2025-11-12,19:05:43,2025-11-13,03:05:43,401287
PRJ0000185,ST03276,ST05036,KRT08535,2025-10-25,17:15:04,2025-10-25,22:15:04,193048
PRJ0000186,ST00647,ST07606,KRT08209,2025-10-24,08:44:21,2025-10-24,16:44:21,132091
PRJ0000187,ST03707,ST04753,KRT06418,2025-10-30,05:39:28,2025-10-30,11:39:28,129062
PRJ0000188,ST05318,ST03636,KRT06634,2025-11-06,01:02:48,2025-11-06,07:02:48,340308
PRJ0000189,ST09038,ST05198,KRT08218,2025-10-28,18:27:25,2025-10-29,01:27:25,379010
PRJ0000190,ST03160,ST08902,KRT00720,2025-11-05,17:52:12,2025-11-05,18:52:12,212467
PRJ0000191,ST05235,ST02566,KRT08335,2025-10-23,22:23:14,2025-10-24,05:23:14,425979
PRJ0000192,ST06747,ST06721,KRT06022,2025-11-11,03:29:57,2025-11-11,11:29:57,229798
PRJ0000193,ST06717,ST04414,KRT00113,2025-10-27,01:41:19,2025-10-27,02:41:19,239317
PRJ0000194,ST00184,ST09289,KRT04026,2025-10-31,03:30:21,2025-10-31,07:30:21,44588
PRJ0000195,ST07666,ST05070,KRT00484,2025-11-11,11:14:20,2025-11-11,12:14:20,416200
PRJ0000196,ST07112,ST03664,KRT09826,2025-11-08,14:24:22,2025-11-08,17:24:22,170595
PRJ0000197,ST04491,ST09017,KRT03830,2025-11-03,05:01:11,2025-11-03,10:01:11,59013
PRJ0000198,ST01637,ST03759,KRT03096,2025-10-25,01:37:06,2025-10-25,05:37:06,303060
PRJ0000199,ST07761,ST07661,KRT09036,2025-11-09,01:55:32,2025-11-09,06:55:32,117475
PRJ0000200,ST04387,ST02804,KRT07193,2025-11-08,15:44:27,2025-11-08,21:44:27,75660
PRJ0000201,ST08105,ST05949,KRT06528,2025-11-16,21:26:33,2025-11-17,04:26:33,202297
PRJ0000202,ST05432,ST08812,KRT09629,2025-10-29,04:44:29,2025-10-29,09:44:29,245009
PRJ0000203,ST02048,ST08940,KRT05394,2025-11-09,21:02:00,2025-11-09,23:02:00,233632
PRJ0000204,ST04257,ST07112,KRT08401,2025-10-20,00:26:07,2025-10-20,04:26:07,227719
PRJ0000205,ST00989,ST05846,KRT05362,2025-11-10,20:27:55,2025-11-10,23:27:55,164351
PRJ0000206,ST07380,ST09971,KRT07187,2025-10-26,21:10:03,2025-10-27,03:10:03,77620
PRJ0000207,ST00747,ST06156,KRT05938,2025-11-15,10:19:12,2025-11-15,15:19:12,332433
PRJ0000208,ST02474,ST08131,KRT06310,2025-10-26,07:30:01,2025-10-26,14:30:01,74615
PRJ0000209,ST05730,ST05738,KRT02972,2025-10-30,18:06:49,2025-10-30,22:06:49,102990
PRJ0000210,ST06620,ST07154,KRT06975,2025-11-05,07:53:12,2025-11-05,12:53:12,121650
PRJ0000211,ST05430,ST01155,KRT02273,2025-10-27,04:54:59,2025-10-27,12:54:59,255948
PRJ0000212,ST01548,ST02138,KRT03921,2025-10-30,06:52:35,2025-10-30,13:52:35,247662
PRJ0000213,ST05139,ST00026,KRT07840,2025-10-30,20:41:25,2025-10-31,02:41:25,442519
PRJ0000214,ST00039,ST05426,KRT07788,2025-10-30,15:21:02,2025-10-30,17:21:02,422473
PRJ0000215,ST08254,ST07993,KRT03496,2025-11-03,13:31:22,2025-11-03,20:31:22,243631
PRJ0000216,ST04903,ST02961,KRT02289,2025-11-04,01:46:51,2025-11-04,05:46:51,136208
PRJ0000217,ST03405,ST08365,KRT07156,2025-10-26,05:00:49,2025-10-26,09:00:49,217047
PRJ0000218,ST02653,ST07977,KRT01537,2025-10-29,11:13:25,2025-10-29,15:13:25,276138
PRJ0000219,ST01429,ST09321,KRT08330,2025-10-29,01:45:24,2025-10-29,03:45:24,463710
PRJ0000220,ST02513,ST00085,KRT04862,2025-11-08,10:31:19,2025-11-08,17:31:19,31442
PRJ0000221,ST05786,ST04896,KRT07102,2025-10-29,05:53:28,2025-10-29,06:53:28,346634
PRJ0000222,ST08335,ST02883,KRT01012,2025-11-07,06:55:12,2025-11-07,10:55:12,371756
PRJ0000223,ST01066,ST01294,KRT08909,2025-11-05,12:38:53,2025-11-05,16:38:53,178718
PRJ0000224,ST02807,ST06907,KRT05442,2025-10-23,04:05:05,2025-10-23,10:05:05,414308
PRJ0000225,ST01384,ST02228,KRT03157,2025-10-23,11:23:28,2025-10-23,19:23:28,320183
PRJ0000226,ST04548,ST08331,KRT09419,2025-11-07,01:41:36,2025-11-07,03:41:36,366538
PRJ0000227,ST05544,ST07818,KRT06545,2025-11-08,18:21:40,2025-11-08,20:21:40,193453
PRJ0000228,ST03838,ST09967,KRT09965,2025-11-15,22:15:26,2025-11-16,06:15:26,44560
PRJ0000229,ST00215,ST03204,KRT05709,2025-11-08,08:13:21,2025-11-08,14:13:21,463516
PRJ0000230,ST02737,ST09317,KRT09763,2025-11-10,00:00:33,2025-11-10,08:00:33,57959
PRJ0000231,ST06600,ST05416,KRT07602,2025-11-15,00:57:46,2025-11-15,01:57:46,73843
PRJ0000232,ST07716,ST02466,KRT03483,2025-11-11,00:25:04,2025-11-11,08:25:04,155331
PRJ0000233,ST08643,ST03350,KRT07791,2025-11-09,00:31:37,2025-11-09,03:31:37,335263
PRJ0000234,ST06850,ST01546,KRT03986,2025-11-05,12:53:07,2025-11-05,14:53:07,490656
PRJ0000235,ST01538,ST08592,KRT06252,2025-11-17,16:09:53,2025-11-17,20:09:53,149299
PRJ0000236,ST05753,ST09075,KRT02522,2025-10-22,23:25:05,2025-10-23,04:25:05,434594
PRJ0000237,ST07370,ST08344,KRT01284,2025-10-28,14:14:43,2025-10-28,18:14:43,322398
PRJ0000238,ST06908,ST04958,KRT07694,2025-11-05,05:12:32,2025-11-05,11:12:32,148997
PRJ0000239,ST06541,ST07129,KRT01779,2025-11-02,18:46:49,2025-11-02,20:46:49,164204
PRJ0000240,ST09142,ST00898,KRT08020,2025-11-05,16:11:07,2025-11-05,18:11:07,155126
PRJ0000241,ST04958,ST03027,KRT08184,2025-10-31,06:56:18,2025-10-31,12:56:18,310683
PRJ0000242,ST01303,ST01619,KRT08137,2025-10-28,19:43:13,2025-10-29,02:43:13,490347
PRJ0000243,ST01556,ST05002,KRT07340,2025-11-17,23:26:09,2025-11-18,02:26:09,119075
PRJ0000244,ST06008,ST04906,KRT09596,2025-11-12,18:54:24,2025-11-12,20:54:24,56215
PRJ0000245,ST05204,ST07400,KRT08257,2025-10-21,11:47:37,2025-10-21,17:47:37,244741
PRJ0000246,ST05482,ST04872,KRT06705,2025-11-06,12:38:04,2025-11-06,15:38:04,42831
PRJ0000247,ST06161,ST07245,KRT04396,2025-11-09,03:37:36,2025-11-09,05:37:36,125212
PRJ0000248,ST04436,ST04380,KRT08336,2025-11-03,19:59:49,2025-11-03,23:59:49,189465
PRJ0000249,ST05286,ST04331,KRT09262,2025-11-15,19:10:26,2025-11-15,22:10:26,44349
PRJ0000250,ST09010,ST06975,KRT09366,2025-10-28,19:06:49,2025-10-28,20:06:49,455820
PRJ0000251,ST08009,ST08266,KRT08328,2025-11-02,17:33:40,2025-11-02,22:33:40,396274
PRJ0000252,ST03156,ST08598,KRT03030,2025-11-07,13:15:30,2025-11-07,17:15:30,331194
PRJ0000253,ST04977,ST02569,KRT02223,2025-11-06,20:16:35,2025-11-06,22:16:35,75645
PRJ0000254,ST03073,ST06825,KRT03552,2025-11-08,18:24:33,2025-11-08,21:24:33,335753
PRJ0000255,ST08939,ST02489,KRT07999,2025-11-01,21:33:01,2025-11-02,05:33:01,264344
PRJ0000256,ST08852,ST08130,KRT03695,2025-10-20,13:44:50,2025-10-20,17:44:50,95000
PRJ0000257,ST05166,ST00220,KRT07816,2025-11-13,07:37:46,2025-11-13,11:37:46,212275
PRJ0000258,ST04227,ST04057,KRT05611,2025-10-31,22:56:04,2025-11-01,02:56:04,333139
PRJ0000259,ST00440,ST03114,KRT08368,2025-11-18,17:03:17,2025-11-19,01:03:17,307418
PRJ0000260,ST06645,ST03711,KRT00448,2025-11-13,15:48:11,2025-11-13,16:48:11,167277
