ID_Gerbong,Nomor_Gerbong,Kapasitas,ID_Kereta
GB00191,5,40,KRT09534
GB00192,4,60,KRT03896
GB00193,2,80,KRT07236
GB00194,16,80,KRT07553
GB00195,5,60,KRT07638
GB00196,20,50,KRT06134
GB00197,9,50,KRT02513
GB00198,3,80,KRT08934
GB00199,8,60,KRT05265
GB00200,18,40,KRT09679
GB00201,6,40,KRT04957
GB00202,18,72,KRT08072
GB00203,2,72,KRT08073
GB00204,13,80,KRT03249
GB00205,7,50,KRT02788
GB00206,19,80,KRT09146
GB00207,14,60,KRT01561
GB00208,12,80,KRT00937
GB00209,6,60,KRT07656
GB00210,18,60,KRT07100
GB00211,9,40,KRT08516
GB00212,11,80,KRT05887
GB00213,17,80,KRT03148
GB00214,18,50,KRT05254
GB00215,14,72,KRT02212
GB00216,13,50,KRT00295
GB00217,17,60,KRT06520
GB00218,16,50,KRT09577
GB00219,6,60,KRT05000
GB00220,7,60,KRT06116
GB00221,3,80,KRT06420
GB00222,6,80,KRT02606
GB00223,6,50,KRT05741
GB00224,1,40,KRT08738
GB00225,6,60,KRT06648
GB00226,6,60,KRT07328
GB00227,6,80,KRT06737
GB00228,7,80,KRT04128
GB00229,6,40,KRT01486
GB00230,6,50,KRT04026
GB00231,9,40,KRT04710
GB00232,19,80,KRT02868
GB00233,20,40,KRT00221
GB00234,20,72,KRT06463
GB00235,6,72,KRT00652
GB00236,5,72,KRT06530
GB00237,1,60,KRT05615
GB00238,2,80,KRT05920
GB00239,14,50,KRT03033
GB00240,3,72,KRT04671
GB00241,2,40,KRT03795
GB00242,20,40,KRT00818
GB00243,3,80,KRT03599
GB00244,8,60,KRT03290
GB00245,18,80,KRT02911
GB00246,5,50,KRT04881
GB00247,15,40,KRT01423
GB00248,19,50,KRT06264
GB00249,1,40,KRT06880
GB00250,1,80,KRT02353
GB00251,15,72,KRT00611
GB00252,11,72,KRT04604
GB00253,13,40,KRT06849
GB00254,2,72,KRT07143
GB00255,5,72,KRT04611
GB00256,7,80,KRT05800
GB00257,1,40,KRT09379
GB00258,11,50,KRT07587
GB00259,6,50,KRT04447
GB00260,14,40,KRT07286
GB00261,14,50,KRT03653
GB00262,4,50,KRT03248
GB00263,14,40,KRT00204
GB00264,20,60,KRT04639
GB00265,3,72,KRT04910
GB00266,5,50,KRT01625
GB00267,13,60,KRT04523
GB00268,10,40,KRT03222
GB00269,15,50,KRT07601
GB00270,16,72,KRT08575
GB00271,12,72,KRT06885
GB00272,2,72,KRT03415
GB00273,9,80,KRT04790
GB00274,6,80,KRT00738
GB00275,9,72,KRT01139
GB00276,16,60,KRT05574
GB00277,4,80,KRT09020
GB00278,15,40,KRT01418
GB00279,16,80,KRT09251
GB00280,7,50,KRT04912
GB00281,6,40,KRT02764
GB00282,10,80,KRT03592
GB00283,15,60,KRT04369
GB00284,9,40,KRT08130
GB00285,6,50,KRT04402
GB00286,12,72,KRT05493
GB00287,7,80,KRT06369
GB00288,19,60,KRT07351
GB00289,19,40,KRT02712
GB00290,12,60,KRT08783
GB00291,12,50,KRT06202
GB00292,5,72,KRT09166
GB00293,19,40,KRT04602
GB00294,15,50,KRT03242
GB00295,17,72,KRT04362
GB00296,3,40,KRT00053
GB00297,20,60,KRT03722
GB00298,17,60,KRT05128
GB00299,16,60,KRT02858
GB00300,3,72,KRT04564
GB00301,8,60,KRT09667
GB00302,20,40,KRT00533
GB00303,19,50,KRT07815
GB00304,18,40,KRT04291
GB00305,14,40,KRT04993
GB00306,16,72,KRT01538
GB00307,10,50,KRT07465
GB00308,17,80,KRT04292
GB00309,9,50,KRT07489
GB00310,2,72,KRT06147
GB00311,3,80,KRT07396
GB00312,12,72,KRT04201
GB00313,14,72,KRT02153
GB00314,13,50,KRT06622
GB00315,18,40,KRT06026
GB00316,10,40,KRT08511
GB00317,12,80,KRT09977
GB00318,19,40,KRT00980
GB00319,5,72,KRT07789
GB00320,6,80,KRT01803
GB00321,1,80,KRT05048
GB00322,11,40,KRT07446
GB00323,18,72,KRT00335
GB00324,10,50,KRT05953
GB00325,14,72,KRT00546
GB00326,11,40,KRT03734
GB00327,8,72,KRT04375
GB00328,14,80,KRT08343
GB00329,8,50,KRT00444
GB00330,13,72,KRT07210
GB00331,7,40,KRT06629
GB00332,16,40,KRT08979
GB00333,5,50,KRT03005
GB00334,14,72,KRT07789
GB00335,19,60,KRT01332
GB00336,20,40,KRT08387
GB00337,15,80,KRT08308
GB00338,14,60,KRT03573
GB00339,17,60,KRT09795
GB00340,2,72,KRT07713
GB00341,7,80,KRT06795
GB00342,7,60,KRT02772
GB00343,17,80,KRT08253
GB00344,16,72,KRT00395
GB00345,11,60,KRT00359
GB00346,10,80,KRT02262
GB00347,5,40,KRT07462
GB00348,2,60,KRT09192
GB00349,14,40,KRT08931
GB00350,13,72,KRT00488
GB00351,14,72,KRT03375
GB00352,6,40,KRT01143
GB00353,13,50,KRT09468
GB00354,1,72,KRT03141
GB00355,19,80,KRT02906
GB00356,17,80,KRT01313
GB00357,19,80,KRT02618
GB00358,16,40,KRT09206
GB00359,5,72,KRT05290
GB00360,7,50,KRT07597
GB00361,3,72,KRT00100
GB00362,18,72,KRT05046
GB00363,20,60,KRT02812
GB00364,13,80,KRT04784
GB00365,6,40,KRT03380
GB00366,19,80,KRT03841
GB00367,3,50,KRT05355
GB00368,10,80,KRT00316
GB00369,4,60,KRT05879
GB00370,19,80,KRT06858
GB00371,15,40,KRT06233
GB00372,20,50,KRT01041
GB00373,20,60,KRT08825
GB00374,15,50,KRT00033
GB00375,12,60,KRT09950
GB00376,17,50,KRT04450
GB00377,8,80,KRT08399
GB00378,9,50,KRT00890
GB00379,5,40,KRT07634
GB00380,18,40,KRT06788
GB00381,16,80,KRT00092
GB00382,13,72,KRT04442
GB00383,8,40,KRT05632
GB00384,17,80,KRT00849
GB00385,4,72,KRT04139
GB00386,19,50,KRT08373
GB00387,3,60,KRT00025
GB00388,7,72,KRT00760
GB00389,4,72,KRT00892
GB00390,20,50,KRT06755
GB00391,10,40,KRT07312
GB00392,2,50,KRT00510
GB00393,17,80,KRT00516
GB00394,17,40,KRT07443
GB00395,6,72,KRT02462
GB00396,17,50,KRT09841
GB00397,14,80,KRT02849
GB00398,10,60,KRT08628
GB00399,11,40,KRT00316
GB00400,15,50,KRT08460
GB00401,17,80,KRT05553
GB00402,19,50,KRT07651
GB00403,9,40,KRT01234
GB00404,14,80,KRT00036
GB00405,14,80,KRT01841
GB00406,20,72,KRT01806
GB00407,6,72,KRT06655
GB00408,13,50,KRT00255
GB00409,18,40,KRT08690
GB00410,5,40,KRT03934
GB00411,20,40,KRT07476
GB00412,2,50,KRT06903
GB00413,7,60,KRT04598
GB00414,9,50,KRT05343
GB00415,20,72,KRT03013
GB00416,9,60,KRT08552
GB00417,16,40,KRT01331
GB00418,6,40,KRT04838
GB00419,5,60,KRT02660
GB00420,12,50,KRT06682
GB00421,20,40,KRT09594
GB00422,3,50,KRT03651
GB00423,15,60,KRT04074
GB00424,1,50,KRT09033
GB00425,9,80,KRT07395
GB00426,13,40,KRT04095
GB00427,20,72,KRT07355
GB00428,1,50,KRT04812
GB00429,8,72,KRT05215
GB00430,5,60,KRT00689
GB00431,12,60,KRT03643
GB00432,14,60,KRT08213
GB00433,3,80,KRT07203
GB00434,12,60,KRT00267
GB00435,8,72,KRT04457
GB00436,17,80,KRT02407
GB00437,4,60,KRT09339
GB00438,15,72,KRT04076
GB00439,17,60,KRT04530
GB00440,13,72,KRT02495
GB00441,7,50,KRT03782
GB00442,14,40,KRT06245
GB00443,13,72,KRT09902
GB00444,20,80,KRT06681
GB00445,10,80,KRT01208
GB00446,5,60,KRT09527
GB00447,10,80,KRT07940
GB00448,6,50,KRT00828
GB00449,9,50,KRT09910
GB00450,17,72,KRT03024
GB00451,6,72,KRT09236
GB00452,20,50,KRT00182
GB00453,13,72,KRT06524
GB00454,3,72,KRT09326
GB00455,19,72,KRT02899
GB00456,7,60,KRT06177
GB00457,20,80,KRT09844
GB00458,5,80,KRT09883
GB00459,18,50,KRT03529
GB00460,11,80,KRT07823
GB00461,13,80,KRT08434
GB00462,15,72,KRT07389
GB00463,20,50,KRT06098
GB00464,14,40,KRT04934
GB00465,4,50,KRT04175
GB00466,17,50,KRT00801
GB00467,17,60,KRT09962
GB00468,8,40,KRT05364
GB00469,7,80,KRT08649
GB00470,7,80,KRT01387
GB00471,5,50,KRT06594
GB00472,1,40,KRT00073
GB00473,3,60,KRT04875
GB00474,2,72,KRT06536
GB00475,5,80,KRT01104
GB00476,10,50,KRT00554
GB00477,10,80,KRT01159
GB00478,7,60,KRT01937
GB00479,1,50,KRT08464
GB00480,19,72,KRT05266
GB00481,5,80,KRT07702
GB00482,5,40,KRT09691
GB00483,20,80,KRT07124
GB00484,11,72,KRT04869
GB00485,6,50,KRT04864
GB00486,1,60,KRT02480
GB00487,2,80,KRT02993
GB00488,8,60,KRT03804
GB00489,1,80,KRT07938
GB00490,14,72,KRT09972
GB00491,4,80,KRT04277
GB00492,18,80,KRT06565
GB00493,5,80,KRT08933
GB00494,2,60,KRT06592
GB00495,18,50,KRT00071
GB00496,3,72,KRT05972
GB00497,8,40,KRT07350
GB00498,20,72,KRT06702
GB00499,4,80,KRT07056
GB00500,19,60,KRT07870
GB00501,5,60,KRT00111
GB00502,10,50,KRT05036
GB00503,16,60,KRT01975
GB00504,6,60,KRT03696
GB00505,3,50,KRT07900
GB00506,20,60,KRT06631
GB00507,4,40,KRT00850
GB00508,16,72,KRT08125
GB00509,7,50,KRT01201
GB00510,16,60,KRT01018
GB00511,8,72,KRT01412
GB00512,19,50,KRT00738
GB00513,5,60,KRT09566
GB00514,20,40,KRT09680
GB00515,7,80,KRT07935
GB00516,7,50,KRT07531
GB00517,2,50,KRT04887
GB00518,6,60,KRT05088
GB00519,9,72,KRT04696
GB00520,18,80,KRT00002
GB00521,9,72,KRT07066
GB00522,1,72,KRT08758
GB00523,14,50,KRT03695
GB00524,11,40,KRT00085
GB00525,16,72,KRT05266
GB00526,3,80,KRT01169
GB00527,16,40,KRT09132
GB00528,12,40,KRT07919
GB00529,8,50,KRT08819
GB00530,19,60,KRT01286
GB00531,9,60,KRT06284
GB00532,7,60,KRT00607
GB00533,20,40,KRT09148
GB00534,12,80,KRT00024
GB00535,12,60,KRT08923
GB00536,3,40,KRT05259
GB00537,15,60,KRT04445
GB00538,20,72,KRT05993
GB00539,8,80,KRT01917
GB00540,13,40,KRT08060
GB00541,16,40,KRT00829
GB00542,10,40,KRT09632
GB00543,8,40,KRT05104
GB00544,11,60,KRT01921
GB00545,18,60,KRT00302
GB00546,8,80,KRT08945
GB00547,5,50,KRT01335
GB00548,18,40,KRT03425
GB00549,19,72,KRT06450
GB00550,6,40,KRT03909
GB00551,17,60,KRT08913
GB00552,18,72,KRT04567
GB00553,1,72,KRT08752
GB00554,18,40,KRT02484
GB00555,13,60,KRT02580
GB00556,20,60,KRT01484
GB00557,13,60,KRT07166
GB00558,20,50,KRT03338
GB00559,8,60,KRT06841
GB00560,5,50,KRT00910
GB00561,7,80,KRT07675
GB00562,10,60,KRT00339
GB00563,17,80,KRT00876
GB00564,14,72,KRT00698
GB00565,17,80,KRT09149
GB00566,16,40,KRT09775
GB00567,6,40,KRT01925
GB00568,20,80,KRT01519
GB00569,18,60,KRT03644
GB00570,3,40,KRT03272
GB00571,5,72,KRT06203
GB00572,4,40,KRT05494
GB00573,18,60,KRT09070
GB00574,11,80,KRT00771
GB00575,11,50,KRT06543
GB00576,8,50,KRT01955
GB00577,4,80,KRT06608
GB00578,2,60,KRT07452
GB00579,6,50,KRT00297
GB00580,11,50,KRT09841
GB00581,16,40,KRT07800
GB00582,16,60,KRT05954
GB00583,9,60,KRT07869
GB00584,2,80,KRT02255
GB00585,7,40,KRT07272
GB00586,3,60,KRT06397
GB00587,3,80,KRT09377
GB00588,11,50,KRT09447
GB00589,9,72,KRT07962
GB00590,13,72,KRT02168
GB00591,14,50,KRT04067
GB00592,11,80,KRT06160
GB00593,1,60,KRT03803
GB00594,1,50,KRT06298
GB00595,3,80,KRT04935
GB00596,1,50,KRT06128
GB00597,16,80,KRT07347
GB00598,1,50,KRT06362
GB00599,17,72,KRT00794
GB00600,11,40,KRT06445
GB00601,8,40,KRT06492
GB00602,13,50,KRT07111
GB00603,1,60,KRT00722
GB00604,5,80,KRT01438
GB00605,14,60,KRT00132
GB00606,20,80,KRT09630
GB00607,4,40,KRT03545
GB00608,19,40,KRT09706
GB00609,4,50,KRT00962
GB00610,8,40,KRT02346
GB00611,12,50,KRT00382
GB00612,20,60,KRT05554
GB00613,6,50,KRT07538
GB00614,12,80,KRT07660
GB00615,20,60,KRT03790
GB00616,4,80,KRT03059
GB00617,13,40,KRT00812
GB00618,20,80,KRT07052
GB00619,2,50,KRT07594
GB00620,12,72,KRT04838
GB00621,11,60,KRT04479
GB00622,19,50,KRT00719
GB00623,11,60,KRT09124
GB00624,20,60,KRT04675
GB00625,11,50,KRT08419
GB00626,3,40,KRT09134
GB00627,1,80,KRT01979
GB00628,18,80,KRT06379
GB00629,12,60,KRT08674
GB00630,7,60,KRT04637
GB00631,11,72,KRT06655
GB00632,6,50,KRT09784
GB00633,12,50,KRT02021
GB00634,16,80,KRT08111
GB00635,2,60,KRT06675
GB00636,13,40,KRT03846
GB00637,14,40,KRT06882
GB00638,5,60,KRT08877
GB00639,14,40,KRT07335
GB00640,1,60,KRT07355
GB00641,5,72,KRT06654
GB00642,1,50,KRT03224
GB00643,12,40,KRT05997
GB00644,17,60,KRT00446
GB00645,3,60,KRT03262
GB00646,1,40,KRT07229
GB00647,8,40,KRT06934
GB00648,16,40,KRT05178
GB00649,14,40,KRT05683
GB00650,17,72,KRT09373
GB00651,2,60,KRT02113
GB00652,6,60,KRT04952
GB00653,3,50,KRT04019
GB00654,19,60,KRT05040
GB00655,15,80,KRT04348
GB00656,2,72,KRT04329
GB00657,12,50,KRT01591
GB00658,11,72,KRT09561
GB00659,2,60,KRT07541
GB00660,4,80,KRT01310
GB00661,17,80,KRT08709
GB00662,13,72,KRT04921
GB00663,13,80,KRT03520
GB00664,14,60,KRT06363
GB00665,4,80,KRT03852
GB00666,7,60,KRT09950
GB00667,16,60,KRT09168
GB00668,15,72,KRT08962
GB00669,1,60,KRT07680
GB00670,2,50,KRT03980
GB00671,16,72,KRT01454
GB00672,18,60,KRT04004
GB00673,1,40,KRT09236
GB00674,6,50,KRT00419
GB00675,20,60,KRT07086
GB00676,16,50,KRT03556
GB00677,7,50,KRT09892
GB00678,16,50,KRT02184
GB00679,7,80,KRT06634
GB00680,10,60,KRT00655
GB00681,6,80,KRT02186
GB00682,11,50,KRT02685
GB00683,13,72,KRT06162
GB00684,20,80,KRT03062
GB00685,9,50,KRT07198
GB00686,16,50,KRT02613
GB00687,8,80,KRT05541
GB00688,5,40,KRT02240
GB00689,8,50,KRT00356
GB00690,19,40,KRT04119
GB00691,1,40,KRT06936
GB00692,20,50,KRT03735
GB00693,6,80,KRT04570
GB00694,10,50,KRT03481
GB00695,10,72,KRT01157
GB00696,20,80,KRT08607
GB00697,5,80,KRT00149
GB00698,16,60,KRT05261
GB00699,3,60,KRT04403
GB00700,11,50,KRT06374
GB00701,2,72,KRT05302
GB00702,14,80,KRT09984
GB00703,20,40,KRT03306
GB00704,18,50,KRT02037
GB00705,1,40,KRT06445
GB00706,10,50,KRT03498
GB00707,5,50,KRT07087
GB00708,5,50,KRT08074
GB00709,15,72,KRT07650
GB00710,7,50,KRT01236
GB00711,14,80,KRT00554
GB00712,13,72,KRT04895
GB00713,16,40,KRT07258
GB00714,1,50,KRT09151
GB00715,12,40,KRT03901
GB00716,13,40,KRT05490
GB00717,20,60,KRT02777
GB00718,20,80,KRT04985
GB00719,5,60,KRT01390
GB00720,2,72,KRT04875
GB00721,2,50,KRT08128
GB00722,9,40,KRT07117
GB00723,16,60,KRT08296
GB00724,6,72,KRT07430
GB00725,14,50,KRT06083
GB00726,19,40,KRT07041
GB00727,6,40,KRT00656
GB00728,8,72,KRT03128
GB00729,17,60,KRT06612
GB00730,9,72,KRT01163
GB00731,10,80,KRT07338
GB00732,9,60,KRT09749
GB00733,16,80,KRT03423
GB00734,4,80,KRT03565
GB00735,19,80,KRT07937
GB00736,19,80,KRT04552
GB00737,20,40,KRT04222
GB00738,20,80,KRT07001
GB00739,2,80,KRT05161
GB00740,11,40,KRT04622
GB00741,20,50,KRT02342
GB00742,14,72,KRT04860
GB00743,7,50,KRT02160
GB00744,8,80,KRT04215
GB00745,13,40,KRT02143
GB00746,4,50,KRT08980
GB00747,19,80,KRT01223
GB00748,4,60,KRT04724
GB00749,18,60,KRT03736
GB00750,9,40,KRT00067
GB00751,3,50,KRT07380
GB00752,14,50,KRT02253
GB00753,7,80,KRT08701
GB00754,10,72,KRT04919
GB00755,6,50,KRT05588
GB00756,13,72,KRT08258
GB00757,16,40,KRT08412
GB00758,17,80,KRT02316
GB00759,5,50,KRT07377
GB00760,17,80,KRT07915
GB00761,2,60,KRT08957
GB00762,10,40,KRT06356
GB00763,17,40,KRT06299
GB00764,3,50,KRT04185
GB00765,19,60,KRT06567
GB00766,10,72,KRT09421
GB00767,20,80,KRT04441
GB00768,13,40,KRT05318
GB00769,17,72,KRT07272
GB00770,20,60,KRT09296
GB00771,13,50,KRT08874
GB00772,8,40,KRT07288
GB00773,5,50,KRT06472
GB00774,4,40,KRT08897
GB00775,2,80,KRT02306
GB00776,14,40,KRT06295
GB00777,13,50,KRT00122
GB00778,4,72,KRT05287
GB00779,12,60,KRT07367
GB00780,17,72,KRT04552
GB00781,11,72,KRT08565
GB00782,13,60,KRT05371
GB00783,12,72,KRT05769
GB00784,4,50,KRT04175
GB00785,16,72,KRT04500
GB00786,1,40,KRT00857
GB00787,13,80,KRT07314
GB00788,11,80,KRT06799
GB00789,17,50,KRT04771
GB00790,2,60,KRT01169
GB00791,14,72,KRT05782
GB00792,9,60,KRT01746
GB00793,5,50,KRT04206
GB00794,10,60,KRT01126
GB00795,17,80,KRT07739
GB00796,10,40,KRT02355
GB00797,7,50,KRT08672
GB00798,14,80,KRT06977
GB00799,1,80,KRT03824
GB00800,11,72,KRT00687
GB00801,3,72,KRT00326
GB00802,8,72,KRT03179
GB00803,2,80,KRT04888
GB00804,9,50,KRT03477
GB00805,17,72,KRT00996
GB00806,6,40,KRT05453
GB00807,2,80,KRT08761
GB00808,8,40,KRT09974
GB00809,9,40,KRT03484
GB00810,9,80,KRT00199
GB00811,19,72,KRT01085
GB00812,20,72,KRT09772
GB00813,16,80,KRT07979
GB00814,5,60,KRT05516
GB00815,5,80,KRT04403
GB00816,4,50,KRT05941
GB00817,13,80,KRT04429
GB00818,17,40,KRT04896
GB00819,11,40,KRT07603
GB00820,7,60,KRT06188
GB00821,16,60,KRT08347
GB00822,1,80,KRT05274
GB00823,16,50,KRT09389
GB00824,9,40,KRT05518
GB00825,19,80,KRT00740
GB00826,5,72,KRT00018
GB00827,6,80,KRT04112
GB00828,9,50,KRT00726
GB00829,8,40,KRT05797
GB00830,17,80,KRT02293
GB00831,11,80,KRT04594
GB00832,20,40,KRT07679
GB00833,7,60,KRT02517
GB00834,2,50,KRT01579
GB00835,19,72,KRT07534
GB00836,16,60,KRT08726
GB00837,14,72,KRT05941
GB00838,20,60,KRT01863
GB00839,10,40,KRT08413
GB00840,14,60,KRT08564
GB00841,6,50,KRT00061
GB00842,17,80,KRT02116
GB00843,20,60,KRT08520
GB00844,13,80,KRT04530
GB00845,4,80,KRT06886
GB00846,6,50,KRT03601
GB00847,6,72,KRT00511
GB00848,12,80,KRT06173
GB00849,20,60,KRT02716
GB00850,15,72,KRT07874
GB00851,10,80,KRT03438
GB00852,4,72,KRT03154
GB00853,1,72,KRT06601
GB00854,6,80,KRT03501
GB00855,3,60,KRT01512
GB00856,17,40,KRT07680
GB00857,18,80,KRT02451
GB00858,10,50,KRT06251
GB00859,12,60,KRT09227
GB00860,10,72,KRT08991
GB00861,19,40,KRT06888
GB00862,5,50,KRT02188
GB00863,15,50,KRT03606
GB00864,16,40,KRT07378
GB00865,20,80,KRT09491
GB00866,1,50,KRT02806
GB00867,8,72,KRT09392
GB00868,2,40,KRT07020
GB00869,11,60,KRT08883
GB00870,15,40,KRT09048
GB00871,9,72,KRT07318
GB00872,19,60,KRT04252
GB00873,3,72,KRT06894
GB00874,16,60,KRT05143
GB00875,7,80,KRT08599
GB00876,3,80,KRT08861
GB00877,20,40,KRT07413
GB00878,7,72,KRT08425
GB00879,3,60,KRT09555
GB00880,3,60,KRT08096
GB00881,20,40,KRT09140
GB00882,19,60,KRT06056
GB00883,17,80,KRT06400
GB00884,6,72,KRT09011
GB00885,7,80,KRT04319
GB00886,18,80,KRT07263
GB00887,14,50,KRT08604
GB00888,1,50,KRT00277
GB00889,16,72,KRT01299
GB00890,5,50,KRT09727
GB00891,13,40,KRT02956
GB00892,4,80,KRT00457
GB00893,11,40,KRT08966
GB00894,18,40,KRT02535
GB00895,19,80,KRT08569
GB00896,13,40,KRT08369
GB00897,5,40,KRT08003
GB00898,1,72,KRT06358
GB00899,20,40,KRT01941
GB00900,2,72,KRT09604
GB00901,5,50,KRT07882
GB00902,5,80,KRT09091
GB00903,5,72,KRT09065
GB00904,20,50,KRT03669
GB00905,9,80,KRT07155
GB00906,10,80,KRT07441
GB00907,2,50,KRT05181
GB00908,2,72,KRT08042
GB00909,11,72,KRT08373
GB00910,20,72,KRT08497
GB00911,8,50,KRT05544
GB00912,12,72,KRT00218
GB00913,16,72,KRT03869
GB00914,4,50,KRT03573
GB00915,4,60,KRT05395
GB00916,11,40,KRT05215
GB00917,15,40,KRT05857
GB00918,5,40,KRT08599
GB00919,16,80,KRT09888
GB00920,8,80,KRT04487
GB00921,9,60,KRT00733
GB00922,10,60,KRT08342
GB00923,18,50,KRT01715
GB00924,3,60,KRT01047
GB00925,10,72,KRT00843
GB00926,4,50,KRT03717
GB00927,11,40,KRT03252
GB00928,13,80,KRT07274
