ID_Tiket,ID_Kursi,ID_Perjalanan,ID_Transaksi,Status_Tiket
TKT00000171,KS006144,PRJ0006378,TRX0005520,Terjual
TKT00000172,KS006238,PRJ0000658,TRX0008073,Terjual
TKT00000173,KS002934,PRJ0006623,TRX0001483,Terjual
TKT00000174,KS001590,PRJ0003067,TRX0008039,Dibatalkan
TKT00000175,KS007054,PRJ0007211,TRX0007237,Dibatalkan
TKT00000176,KS002096,PRJ0003191,TRX0009469,Terjual
TKT00000177,KS004793,PRJ0004738,TRX0001847,Terjual
TKT00000178,KS003136,PRJ0000356,TRX0007318,Dibatalkan
TKT00000179,KS003107,PRJ0001259,TRX0008749,Dibatalkan
TKT00000180,KS003553,PRJ0008689,TRX0005755,Dibatalkan
TKT00000181,KS006794,PRJ0000505,TRX0009567,Dibatalkan
TKT00000182,KS004506,PRJ0006941,TRX0005608,Dibatalkan
TKT00000183,KS009979,PRJ0006362,TRX0002838,Dibatalkan
TKT00000184,KS003518,PRJ0001447,TRX0008332,Dibatalkan
TKT00000185,KS002864,PRJ0001577,TRX0002687,Terjual
TKT00000186,KS003146,PRJ0008139,TRX0000396,Dibatalkan
TKT00000187,KS005030,PRJ0004177,TRX0007109,Dibatalkan
TKT00000188,KS002930,PRJ0006190,TRX0009302,Dibatalkan
TKT00000189,KS001956,PRJ0005767,TRX0004496,Dibatalkan
TKT00000190,KS008750,PRJ0001349,TRX0003941,Dibatalkan
TKT00000191,KS003430,PRJ0004221,TRX0004164,Dibatalkan
TKT00000192,KS006920,PRJ0003569,TRX0009029,Dibatalkan
TKT00000193,KS006505,PRJ0002670,TRX0002032,Dibatalkan
TKT00000194,KS000451,PRJ0005549,TRX0007762,Terjual
TKT00000195,KS003427,PRJ0008745,TRX0000444,Dibatalkan
TKT00000196,KS001878,PRJ0006080,TRX0006121,Terjual
TKT00000197,KS007143,PRJ0007454,TRX0007982,Dibatalkan
TKT00000198,KS004131,PRJ0003749,TRX0001456,Dibatalkan
TKT00000199,KS009488,PRJ0009281,TRX0005513,Dibatalkan
TKT00000200,KS007612,PRJ0004429,TRX0008542,Terjual
TKT00000201,KS002019,PRJ0000265,TRX0003138,Dibatalkan
TKT00000202,KS002798,PRJ0001630,TRX0000515,Terjual
TKT00000203,KS006734,PRJ0005419,TRX0000430,Dibatalkan
TKT00000204,KS000637,PRJ0005854,TRX0008294,Terjual
TKT00000205,KS005714,PRJ0007664,TRX0006749,Dibatalkan
TKT00000206,KS009428,PRJ0003272,TRX0001168,Terjual
TKT00000207,KS000817,PRJ0004250,TRX0002271,Terjual
TKT00000208,KS005050,PRJ0005357,TRX0007360,Terjual
TKT00000209,KS008522,PRJ0005054,TRX0005012,Terjual
TKT00000210,KS007516,PRJ0001836,TRX0002327,Dibatalkan
TKT00000211,KS007618,PRJ0008872,TRX0008467,Terjual
TKT00000212,KS006200,PRJ0006059,TRX0002860,Dibatalkan
TKT00000213,KS007271,PRJ0003170,TRX0006132,Terjual
TKT00000214,KS003930,PRJ0002138,TRX0007604,Dibatalkan
TKT00000215,KS004926,PRJ0008588,TRX0007592,Dibatalkan
TKT00000216,KS001863,PRJ0000842,TRX0002480,Terjual
TKT00000217,KS008295,PRJ0001360,TRX0008293,Terjual
TKT00000218,KS004905,PRJ0002979,TRX0002004,Terjual
TKT00000219,KS003247,PRJ0003939,TRX0008053,Dibatalkan
TKT00000220,KS001731,PRJ0008981,TRX0007180,Terjual
TKT00000221,KS002738,PRJ0003590,TRX0000227,Dibatalkan
TKT00000222,KS002123,PRJ0000545,TRX0002623,Terjual
TKT00000223,KS008586,PRJ0001169,TRX0000060,Dibatalkan
TKT00000224,KS002005,PRJ0008407,TRX0009580,Dibatalkan
TKT00000225,KS002634,PRJ0004684,TRX0007554,Terjual
TKT00000226,KS001504,PRJ0009071,TRX0002479,Terjual
TKT00000227,KS002303,PRJ0001894,TRX0005087,Terjual
TKT00000228,KS007787,PRJ0008416,TRX0009145,Terjual
TKT00000229,KS007888,PRJ0003572,TRX0002294,Dibatalkan
TKT00000230,KS004020,PRJ0005162,TRX0008752,Dibatalkan
TKT00000231,KS001783,PRJ0009063,TRX0001367,Dibatalkan
TKT00000232,KS006317,PRJ0007261,TRX0009944,Terjual
TKT00000233,KS002822,PRJ0009911,TRX0004911,Terjual
TKT00000234,KS002587,PRJ0008440,TRX0003742,Dibatalkan
TKT00000235,KS000875,PRJ0006719,TRX0003803,Dibatalkan
TKT00000236,KS000899,PRJ0002988,TRX0006346,Dibatalkan
TKT00000237,KS005532,PRJ0007356,TRX0009746,Dibatalkan
TKT00000238,KS009120,PRJ0008686,TRX0003188,Terjual
TKT00000239,KS006004,PRJ0000670,TRX0005218,Terjual
TKT00000240,KS000641,PRJ0008512,TRX0003848,Dibatalkan
TKT00000241,KS002651,PRJ0005609,TRX0005997,Dibatalkan
TKT00000242,KS004062,PRJ0004903,TRX0004853,Terjual
TKT00000243,KS002155,PRJ0008658,TRX0004531,Terjual
TKT00000244,KS009954,PRJ0006891,TRX0004329,Terjual
TKT00000245,KS004041,PRJ0009575,TRX0002077,Dibatalkan
TKT00000246,KS007254,PRJ0008754,TRX0003416,Terjual
TKT00000247,KS000251,PRJ0003553,TRX0004682,Terjual
TKT00000248,KS007229,PRJ0001506,TRX0005282,Dibatalkan
TKT00000249,KS008496,PRJ0005577,TRX0002460,Terjual
TKT00000250,KS000443,PRJ0001558,TRX0006892,Dibatalkan
TKT00000251,KS008748,PRJ0000018,TRX0000123,Terjual
TKT00000252,KS006276,PRJ0005411,TRX0001671,Dibatalkan
TKT00000253,KS008732,PRJ0002216,TRX0006047,Dibatalkan
TKT00000254,KS003826,PRJ0002004,TRX0004856,Dibatalkan
TKT00000255,KS009230,PRJ0007210,TRX0003629,Dibatalkan
TKT00000256,KS001190,PRJ0006958,TRX0001218,Terjual
TKT00000257,KS008380,PRJ0002684,TRX0007694,Dibatalkan
TKT00000258,KS001071,PRJ0008402,TRX0007342,Terjual
TKT00000259,KS002009,PRJ0000454,TRX0008221,Terjual
TKT00000260,KS009651,PRJ0006747,TRX0008228,Terjual
TKT00000261,KS009127,PRJ0007137,TRX0009199,Dibatalkan
TKT00000262,KS007741,PRJ0009989,TRX0002557,Terjual
TKT00000263,KS006524,PRJ0007913,TRX0000066,Dibatalkan
TKT00000264,KS004591,PRJ0009246,TRX0005616,Terjual
TKT00000265,KS001697,PRJ0000582,TRX0001184,Terjual
TKT00000266,KS009416,PRJ0006404,TRX0007656,Terjual
TKT00000267,KS009572,PRJ0001577,TRX0004322,Terjual
TKT00000268,KS008784,PRJ0006857,TRX0003923,Dibatalkan
TKT00000269,KS004835,PRJ0002945,TRX0003644,Dibatalkan
TKT00000270,KS001058,PRJ0007325,TRX0006482,Dibatalkan
TKT00000271,KS007519,PRJ0002352,TRX0005612,Terjual
TKT00000272,KS002883,PRJ0002969,TRX0007363,Terjual
TKT00000273,KS003419,PRJ0000033,TRX0008684,Dibatalkan
TKT00000274,KS000920,PRJ0005224,TRX0002001,Terjual
TKT00000275,KS008880,PRJ0000279,TRX0008729,Dibatalkan
TKT00000276,KS002606,PRJ0003053,TRX0005349,Terjual
TKT00000277,KS005201,PRJ0005417,TRX0005960,Dibatalkan
TKT00000278,KS004208,PRJ0006313,TRX0004963,Dibatalkan
TKT00000279,KS006420,PRJ0004408,TRX0005570,Dibatalkan
TKT00000280,KS000796,PRJ0000463,TRX0000167,Dibatalkan
TKT00000281,KS002406,PRJ0000637,TRX0005946,Dibatalkan
TKT00000282,KS007842,PRJ0002665,TRX0008390,Dibatalkan
TKT00000283,KS007721,PRJ0008066,TRX0007916,Terjual
TKT00000284,KS006899,PRJ0007264,TRX0009192,Terjual
TKT00000285,KS008804,PRJ0009295,TRX0004601,Terjual
TKT00000286,KS006700,PRJ0000381,TRX0005017,Terjual
TKT00000287,KS005165,PRJ0005048,TRX0009308,Terjual
TKT00000288,KS000922,PRJ0003996,TRX0005402,Dibatalkan
TKT00000289,KS002811,PRJ0001033,TRX0005654,Dibatalkan
TKT00000290,KS000232,PRJ0003136,TRX0009458,Dibatalkan
TKT00000291,KS002285,PRJ0004952,TRX0001569,Terjual
TKT00000292,KS009537,PRJ0004244,TRX0004326,Terjual
TKT00000293,KS007951,PRJ0000683,TRX0008523,Terjual
TKT00000294,KS002098,PRJ0001679,TRX0004481,Dibatalkan
TKT00000295,KS001079,PRJ0008692,TRX0005264,Terjual
TKT00000296,KS005396,PRJ0003782,TRX0009174,Dibatalkan
TKT00000297,KS001418,PRJ0009772,TRX0006934,Dibatalkan
TKT00000298,KS001576,PRJ0006250,TRX0005825,Terjual
TKT00000299,KS000065,PRJ0008443,TRX0000021,Terjual
TKT00000300,KS006445,PRJ0008482,TRX0002894,Terjual
TKT00000301,KS005448,PRJ0005709,TRX0003470,Terjual
TKT00000302,KS007621,PRJ0006309,TRX0007475,Terjual
TKT00000303,KS007254,PRJ0009502,TRX0008389,Terjual
TKT00000304,KS006172,PRJ0005545,TRX0000222,Terjual
TKT00000305,KS000086,PRJ0004020,TRX0009710,Terjual
TKT00000306,KS000781,PRJ0003389,TRX0002547,Terjual
TKT00000307,KS002255,PRJ0004972,TRX0003499,Dibatalkan
TKT00000308,KS009546,PRJ0004128,TRX0002405,Dibatalkan
TKT00000309,KS007185,PRJ0002910,TRX0002730,Dibatalkan
TKT00000310,KS000837,PRJ0005654,TRX0007795,Dibatalkan
TKT00000311,KS008233,PRJ0008870,TRX0009651,Dibatalkan
TKT00000312,KS006780,PRJ0004003,TRX0003413,Terjual
TKT00000313,KS003430,PRJ0006993,TRX0004526,Dibatalkan
TKT00000314,KS008612,PRJ0000407,TRX0003283,Dibatalkan
TKT00000315,KS000293,PRJ0008261,TRX0005752,Terjual
TKT00000316,KS000245,PRJ0002383,TRX0006696,Dibatalkan
TKT00000317,KS002621,PRJ0005515,TRX0006553,Terjual
TKT00000318,KS009766,PRJ0001739,TRX0004911,Dibatalkan
TKT00000319,KS009102,PRJ0007748,TRX0003704,Dibatalkan
TKT00000320,KS009916,PRJ0005836,TRX0001812,Dibatalkan
TKT00000321,KS007190,PRJ0006500,TRX0001193,Terjual
TKT00000322,KS004690,PRJ0001885,TRX0008440,Dibatalkan
TKT00000323,KS008748,PRJ0004811,TRX0000399,Terjual
TKT00000324,KS002823,PRJ0002512,TRX0008647,Dibatalkan
TKT00000325,KS001790,PRJ0004410,TRX0001955,Terjual
TKT00000326,KS004163,PRJ0000084,TRX0004676,Dibatalkan
TKT00000327,KS002161,PRJ0000489,TRX0002308,Terjual
TKT00000328,KS000037,PRJ0006817,TRX0003194,Dibatalkan
TKT00000329,KS001682,PRJ0008024,TRX0006633,Terjual
TKT00000330,KS007113,PRJ0008118,TRX0002924,Terjual
TKT00000331,KS003440,PRJ0006168,TRX0003941,Dibatalkan
TKT00000332,KS002288,PRJ0006457,TRX0009364,Terjual
TKT00000333,KS009328,PRJ0005850,TRX0007915,Terjual
TKT00000334,KS001958,PRJ0008848,TRX0003167,Dibatalkan
TKT00000335,KS007654,PRJ0006654,TRX0006466,Dibatalkan
TKT00000336,KS004344,PRJ0000855,TRX0007563,Dibatalkan
TKT00000337,KS008204,PRJ0001172,TRX0001497,Terjual
TKT00000338,KS000504,PRJ0007618,TRX0002708,Dibatalkan
TKT00000339,KS003128,PRJ0002609,TRX0003008,Dibatalkan
TKT00000340,KS004210,PRJ0009860,TRX0004458,Dibatalkan
TKT00000341,KS000682,PRJ0003238,TRX0006109,Terjual
TKT00000342,KS009358,PRJ0002278,TRX0002999,Dibatalkan
TKT00000343,KS008356,PRJ0008152,TRX0003998,Dibatalkan
TKT00000344,KS002883,PRJ0000532,TRX0008822,Terjual
TKT00000345,KS003739,PRJ0007557,TRX0004576,Terjual
TKT00000346,KS006510,PRJ0008737,TRX0005491,Dibatalkan
TKT00000347,KS003596,PRJ0000620,TRX0008699,Dibatalkan
TKT00000348,KS007650,PRJ0006319,TRX0006330,Dibatalkan
TKT00000349,KS009551,PRJ0003621,TRX0009876,Terjual
TKT00000350,KS007944,PRJ0009262,TRX0002575,Dibatalkan
TKT00000351,KS006209,PRJ0003242,TRX0007466,Dibatalkan
TKT00000352,KS005173,PRJ0003594,TRX0007301,Terjual
TKT00000353,KS002476,PRJ0007722,TRX0001989,Dibatalkan
TKT00000354,KS007997,PRJ0002097,TRX0006954,Terjual
TKT00000355,KS009987,PRJ0008109,TRX0007358,Dibatalkan
TKT00000356,KS005836,PRJ0000223,TRX0004512,Dibatalkan
TKT00000357,KS007054,PRJ0007069,TRX0009560,Dibatalkan
TKT00000358,KS005479,PRJ0001032,TRX0007688,Dibatalkan
TKT00000359,KS006068,PRJ0000158,TRX0009727,Terjual
TKT00000360,KS005464,PRJ0006398,TRX0000913,Terjual
TKT00000361,KS003181,PRJ0003413,TRX0000942,Dibatalkan
TKT00000362,KS002621,PRJ0009577,TRX0000521,Terjual
TKT00000363,KS008077,PRJ0002469,TRX0008249,Dibatalkan
TKT00000364,KS006726,PRJ0005155,TRX0000815,Terjual
TKT00000365,KS008293,PRJ0008778,TRX0003519,Terjual
TKT00000366,KS005948,PRJ0005622,TRX0002105,Terjual
TKT00000367,KS002646,PRJ0008957,TRX0003568,Dibatalkan
TKT00000368,KS009560,PRJ0003102,TRX0005501,Terjual
TKT00000369,KS005355,PRJ0004271,TRX0000344,Dibatalkan
TKT00000370,KS000312,PRJ0002501,TRX0003723,Dibatalkan
TKT00000371,KS008088,PRJ0002393,TRX0001796,Dibatalkan
TKT00000372,KS006329,PRJ0007673,TRX0003982,Dibatalkan
TKT00000373,KS001997,PRJ0000179,TRX0004690,Terjual
TKT00000374,KS002259,PRJ0005350,TRX0000980,Dibatalkan
TKT00000375,KS004891,PRJ0003446,TRX0005758,Dibatalkan
TKT00000376,KS007919,PRJ0008166,TRX0002578,Dibatalkan
TKT00000377,KS004720,PRJ0007386,TRX0002997,Terjual
TKT00000378,KS004161,PRJ0003851,TRX0000309,Terjual
TKT00000379,KS001885,PRJ0004751,TRX0000960,Terjual
TKT00000380,KS002252,PRJ0000853,TRX0009573,Dibatalkan
TKT00000381,KS007397,PRJ0006862,TRX0006872,Terjual
TKT00000382,KS000965,PRJ0009808,TRX0000345,Dibatalkan
TKT00000383,KS006424,PRJ0008005,TRX0001130,Terjual
TKT00000384,KS004070,PRJ0006364,TRX0004286,Terjual
TKT00000385,KS009683,PRJ0006000,TRX0005315,Dibatalkan
TKT00000386,KS002380,PRJ0008862,TRX0004262,Terjual
TKT00000387,KS006327,PRJ0007249,TRX0002812,Terjual
TKT00000388,KS007595,PRJ0006903,TRX0002091,Dibatalkan
TKT00000389,KS004584,PRJ0007709,TRX0008272,Terjual
TKT00000390,KS001774,PRJ0009746,TRX0005023,Dibatalkan
TKT00000391,KS005829,PRJ0002063,TRX0000357,Terjual
TKT00000392,KS009553,PRJ0001351,TRX0000298,Terjual
TKT00000393,KS001959,PRJ0008425,TRX0001028,Terjual
TKT00000394,KS009697,PRJ0006615,TRX0007711,Terjual
TKT00000395,KS007420,PRJ0002152,TRX0003918,Terjual
TKT00000396,KS009826,PRJ0001426,TRX0001888,Terjual
TKT00000397,KS004319,PRJ0006656,TRX0009473,Terjual
TKT00000398,KS006130,PRJ0001984,TRX0007071,Dibatalkan
TKT00000399,KS002748,PRJ0000540,TRX0000227,Dibatalkan
TKT00000400,KS006756,PRJ0004716,TRX0006118,Terjual
TKT00000401,KS006174,PRJ0002769,TRX0008902,Terjual
TKT00000402,KS002903,PRJ0002292,TRX0006861,Terjual
TKT00000403,KS001194,PRJ0001762,TRX0005967,Dibatalkan
TKT00000404,KS009787,PRJ0007733,TRX0003681,Terjual
TKT00000405,KS003663,PRJ0006080,TRX0005765,Terjual
TKT00000406,KS009330,PRJ0006696,TRX0004373,Terjual
TKT00000407,KS007590,PRJ0001819,TRX0003345,Dibatalkan
TKT00000408,KS001428,PRJ0008095,TRX0006581,Terjual
TKT00000409,KS008462,PRJ0003166,TRX0002413,Dibatalkan
TKT00000410,KS003788,PRJ0001367,TRX0003245,Terjual
TKT00000411,KS008803,PRJ0001549,TRX0002884,Terjual
TKT00000412,KS004529,PRJ0003273,TRX0001492,Dibatalkan
TKT00000413,KS002051,PRJ0001434,TRX0003824,Dibatalkan
TKT00000414,KS000529,PRJ0008873,TRX0002043,Terjual
TKT00000415,KS006557,PRJ0002218,TRX0006136,Terjual
